Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
SR-0017324,Request creation of shared folder for project,Data,Loki,Loki,Avengers,Service C,In Progress,Medium,Critical,High,High,2025-07-11T23:03:22.000000,2025-07-12T01:03:22.000000,,5,Friday,2.0,,,0,2025-28
SR-0017325,Request access to source code repository,Network,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-07-11T04:31:06.000000,2025-07-11T06:31:06.000000,2025-07-12T00:31:06.000000,2,Friday,2.0,18.0,20.0,0,2025-28
SR-0017326,Request new conference call access details,Hardware,Captain America,Captain America,Avengers,Service C,In Progress,Low,Medium,Low,Medium,2025-07-11T17:30:44.000000,2025-07-11T21:30:44.000000,,5,Friday,4.0,,,0,2025-28
SR-0017327,Request access to secure file transfer service,Software,Spiderman,Spiderman,Avengers II,Service B,New,Low,Medium,Medium,Medium,2025-07-11T02:39:06.000000,,,0,Friday,,,,0,2025-28
SR-0017328,Request setup of network storage connection,Network,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,High,Medium,2025-07-11T04:15:29.000000,2025-07-11T12:15:29.000000,2025-07-11T22:15:29.000000,2,Friday,8.0,10.0,18.0,1,2025-28
SR-0017329,Request access to reporting tools,Failure,Loki,Loki,Avengers,Service B,New,High,High,High,High,2025-07-11T06:52:12.000000,,,5,Friday,,,,0,2025-28
SR-0017330,Request configuration of meeting room technology,Network,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,High,High,High,2025-07-11T10:48:53.000000,2025-07-11T16:48:53.000000,2025-07-12T03:48:53.000000,1,Friday,6.0,11.0,17.0,1,2025-28
SR-0017331,Request access to test environment data,Data,Loki,Loki,Avengers,Service B,Closed,High,Low,Low,Low,2025-07-11T12:00:51.000000,2025-07-11T19:00:51.000000,2025-07-13T23:00:51.000000,4,Friday,7.0,52.0,59.0,1,2025-28
SR-0017332,Request creation of a group communication list,Software,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Low,Low,Low,2025-07-11T19:45:09.000000,2025-07-12T02:45:09.000000,2025-07-13T04:45:09.000000,5,Friday,7.0,26.0,33.0,0,2025-28
SR-0017333,Request VPN access from additional device,Complaint,Captain America,Captain America,Avengers,Service A,New,Medium,Critical,High,High,2025-07-11T09:54:35.000000,,,1,Friday,,,,0,2025-28
SR-0017334,Request removal of unused virtual environment,Software,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-07-11T07:14:51.000000,2025-07-11T10:14:51.000000,2025-07-13T08:14:51.000000,5,Friday,3.0,46.0,49.0,0,2025-28
SR-0017335,Request access to service management tool,Software,Captain Marvel,Captain Marvel,Avengers II,Service B,New,Low,Critical,High,Medium,2025-07-11T00:43:34.000000,,,3,Friday,,,,0,2025-28
SR-0017336,Request access to internal information site,Hardware,Captain America,Captain America,Avengers,Service C,New,Medium,Medium,Medium,Low,2025-07-11T03:20:00.000000,,,0,Friday,,,,0,2025-28
SR-0017337,Request productivity software licence,Data,Iron Man,Iron Man,Avengers,Service A,New,Low,Medium,Medium,Medium,2025-07-11T03:36:08.000000,,,0,Friday,,,,0,2025-28
SR-0017338,Request shared calendar setup for team,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Low,Low,Low,2025-07-11T20:04:23.000000,2025-07-11T23:04:23.000000,2025-07-13T03:04:23.000000,0,Friday,3.0,28.0,31.0,0,2025-28
SR-0017339,Request removal from email group,Failure,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,High,High,High,2025-07-11T08:09:46.000000,2025-07-11T10:09:46.000000,2025-07-12T04:09:46.000000,1,Friday,2.0,18.0,20.0,1,2025-28
SR-0017340,Request activation of additional login security,Network,Thor,Thor,Avengers,Service B,Closed,Medium,Critical,High,High,2025-07-11T12:26:37.000000,2025-07-11T15:26:37.000000,2025-07-11T16:26:37.000000,0,Friday,3.0,1.0,4.0,0,2025-28
SR-0017341,Request update to data retention settings,Software,John Wick,John Wick,Matrix,Service A,Closed,Medium,Critical,High,High,2025-07-11T17:20:50.000000,2025-07-11T21:20:50.000000,2025-07-11T22:20:50.000000,1,Friday,4.0,1.0,5.0,0,2025-28
SR-0017342,Request setup of test environment for application,Software,Hulk,Hulk,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-07-11T10:36:55.000000,2025-07-11T18:36:55.000000,2025-07-14T10:36:55.000000,0,Friday,8.0,64.0,72.0,1,2025-28
SR-0017343,Request configuration update for communication tools,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service B,New,Medium,Medium,Medium,Medium,2025-07-11T14:06:25.000000,,,2,Friday,,,,0,2025-28
SR-0017344,Request access to incident tracking dashboard,Data,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-07-11T19:25:02.000000,2025-07-12T01:25:02.000000,2025-07-12T16:25:02.000000,2,Friday,6.0,15.0,21.0,0,2025-28
SR-0017345,Request setup of network storage connection,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-07-11T01:49:58.000000,2025-07-11T09:49:58.000000,2025-07-12T16:49:58.000000,3,Friday,8.0,31.0,39.0,1,2025-28
SR-0017346,Request access to time-management tools,Data,Iron Man,Iron Man,Avengers,Service B,Closed,High,Medium,Low,Medium,2025-07-11T10:23:05.000000,2025-07-11T15:23:05.000000,2025-07-12T20:23:05.000000,3,Friday,5.0,29.0,34.0,1,2025-28
SR-0017347,Request replacement of input device,Software,John Wick,John Wick,Matrix,Service A,Closed,High,High,High,High,2025-07-11T15:42:49.000000,2025-07-11T23:42:49.000000,2025-07-12T07:42:49.000000,3,Friday,8.0,8.0,16.0,0,2025-28
SR-0017348,Request change in routing for service access,Failure,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Critical,High,High,2025-07-11T01:53:18.000000,2025-07-11T03:53:18.000000,2025-07-11T05:53:18.000000,0,Friday,2.0,2.0,4.0,0,2025-28
SR-0017349,Request external user account creation,Facilities,Captain America,Captain America,Avengers,Service A,New,High,Critical,High,High,2025-07-11T10:16:00.000000,,,4,Friday,,,,0,2025-28
SR-0017350,Request access to service management tool,Facilities,Loki,Loki,Avengers,Service B,Closed,Low,Low,Low,Low,2025-07-11T14:22:52.000000,2025-07-11T16:22:52.000000,2025-07-14T04:22:52.000000,0,Friday,2.0,60.0,62.0,1,2025-28
SR-0017351,Request access to incident tracking dashboard,Software,John Wick,John Wick,Matrix,Service C,New,High,Medium,Medium,Medium,2025-07-11T11:52:45.000000,,,3,Friday,,,,0,2025-28
SR-0017352,Request new mobile device setup,Data,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-07-11T08:12:05.000000,2025-07-11T11:12:05.000000,2025-07-12T17:12:05.000000,5,Friday,3.0,30.0,33.0,1,2025-28
SR-0017353,Request adjustment of access permissions,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Medium,Low,Medium,2025-07-11T01:34:58.000000,2025-07-11T09:34:58.000000,2025-07-12T12:34:58.000000,0,Friday,8.0,27.0,35.0,1,2025-28
SR-0017354,Request remote access enablement,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-07-11T11:49:21.000000,2025-07-11T16:49:21.000000,2025-07-12T15:49:21.000000,3,Friday,5.0,23.0,28.0,0,2025-28
SR-0017355,Request update to data retention settings,Network,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-07-11T11:42:59.000000,2025-07-11T16:42:59.000000,2025-07-11T18:42:59.000000,5,Friday,5.0,2.0,7.0,0,2025-28
SR-0017356,Request secure deletion of data from device,Access,Loki,Loki,Avengers,Service C,Closed,Low,Critical,High,High,2025-07-11T16:29:11.000000,2025-07-12T00:29:11.000000,2025-07-12T12:29:11.000000,5,Friday,8.0,12.0,20.0,1,2025-28
SR-0017357,Request replacement of input device,Network,Iron Man,Iron Man,Avengers,Service C,Closed,High,High,High,High,2025-07-11T00:36:52.000000,2025-07-11T05:36:52.000000,2025-07-11T21:36:52.000000,3,Friday,5.0,16.0,21.0,1,2025-28
SR-0017358,Request configuration change for application settings,Complaint,Batman,Batman,Matrix,Service B,New,Low,Medium,Medium,Medium,2025-07-11T14:35:54.000000,,,3,Friday,,,,0,2025-28
SR-0017359,Request change of shared mailbox ownership,Facilities,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,Medium,2025-07-11T17:47:13.000000,2025-07-11T23:47:13.000000,2025-07-12T04:47:13.000000,5,Friday,6.0,5.0,11.0,1,2025-28
SR-0017360,Request setup of email on user device,Network,Loki,Loki,Avengers,Service B,Closed,High,High,High,High,2025-07-11T22:55:00.000000,2025-07-12T04:55:00.000000,2025-07-13T04:55:00.000000,5,Friday,6.0,24.0,30.0,1,2025-28
SR-0017361,Request creation of shared collaboration space,Complaint,Hulk,Hulk,Avengers,Service A,New,Low,Critical,Medium,High,2025-07-11T04:24:54.000000,,,0,Friday,,,,0,2025-28
SR-0017362,Request remote access enablement,Network,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Critical,High,High,2025-07-11T21:54:31.000000,2025-07-12T01:54:31.000000,2025-07-12T07:54:31.000000,1,Friday,4.0,6.0,10.0,1,2025-28
SR-0017363,Request upgrade to latest approved software version,Software,Captain America,Captain America,Avengers,Service A,Closed,High,Critical,High,High,2025-07-11T17:11:08.000000,2025-07-11T23:11:08.000000,2025-07-12T04:11:08.000000,1,Friday,6.0,5.0,11.0,1,2025-28
SR-0017364,Request change of time zone settings for account,Access,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Critical,Medium,High,2025-07-11T01:48:05.000000,2025-07-11T05:48:05.000000,2025-07-11T07:48:05.000000,2,Friday,4.0,2.0,6.0,0,2025-28
SR-0017365,Request activation of additional login security,Complaint,Batman,Batman,Matrix,Service C,Closed,High,Medium,Medium,Low,2025-07-11T09:14:54.000000,2025-07-11T14:14:54.000000,2025-07-12T03:14:54.000000,4,Friday,5.0,13.0,18.0,0,2025-28
SR-0017366,Request setup of network storage connection,Facilities,Captain America,Captain America,Avengers,Service B,Closed,High,Low,Low,Low,2025-07-11T06:14:53.000000,2025-07-11T13:14:53.000000,2025-07-14T02:14:53.000000,3,Friday,7.0,61.0,68.0,1,2025-28
SR-0017367,Request access to collaboration tool,Network,Captain America,Captain America,Avengers,Service A,Closed,High,Critical,High,Medium,2025-07-11T18:41:07.000000,2025-07-11T22:41:07.000000,2025-07-12T10:41:07.000000,4,Friday,4.0,12.0,16.0,1,2025-28
SR-0017368,Request creation of shared mailbox,Hardware,Captain America,Captain America,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-07-11T07:14:05.000000,2025-07-11T10:14:05.000000,2025-07-12T09:14:05.000000,2,Friday,3.0,23.0,26.0,0,2025-28
SR-0017369,Request configuration of project-specific tools,Failure,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Critical,High,High,2025-07-11T13:34:25.000000,2025-07-11T17:34:25.000000,2025-07-11T20:34:25.000000,2,Friday,4.0,3.0,7.0,0,2025-28
SR-0017370,Request access to remote working environment,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,New,Low,High,High,High,2025-07-11T12:15:25.000000,,,2,Friday,,,,0,2025-28
SR-0017371,Request website allowance for business use,Software,Loki,Loki,Avengers,Service C,In Progress,Low,Critical,High,Medium,2025-07-11T06:20:19.000000,2025-07-11T09:20:19.000000,,2,Friday,3.0,,,0,2025-28
SR-0017372,Request configuration update for communication tools,Software,John Cena,John Cena,Matrix,Service B,Closed,Low,High,High,High,2025-07-11T09:18:45.000000,2025-07-11T13:18:45.000000,2025-07-12T06:18:45.000000,0,Friday,4.0,17.0,21.0,1,2025-28
SR-0017373,Request update of user contact information,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,Medium,Medium,Low,2025-07-11T20:39:15.000000,2025-07-12T00:39:15.000000,2025-07-13T10:39:15.000000,3,Friday,4.0,34.0,38.0,1,2025-28
SR-0017374,Request increase of mailbox storage,Network,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,High,High,Medium,2025-07-11T15:01:54.000000,2025-07-11T17:01:54.000000,2025-07-12T06:01:54.000000,0,Friday,2.0,13.0,15.0,1,2025-28
SR-0017375,Request access to service management tool,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-07-11T08:37:11.000000,2025-07-11T13:37:11.000000,2025-07-12T21:37:11.000000,2,Friday,5.0,32.0,37.0,1,2025-28
SR-0017376,Request remote access to internal application,Access,Neo,Neo,Matrix,Service C,Closed,High,Critical,High,Medium,2025-07-11T20:36:58.000000,2025-07-11T23:36:58.000000,2025-07-12T00:36:58.000000,5,Friday,3.0,1.0,4.0,0,2025-28
SR-0017377,Request enrolment of device into management system,Failure,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Low,Low,Low,2025-07-11T07:17:29.000000,2025-07-11T14:17:29.000000,2025-07-13T07:17:29.000000,1,Friday,7.0,41.0,48.0,0,2025-28
SR-0017378,Request update of security configuration,Network,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-07-11T19:47:38.000000,2025-07-11T22:47:38.000000,2025-07-12T10:47:38.000000,0,Friday,3.0,12.0,15.0,0,2025-28
SR-0017379,Request access to development resources,Data,Loki,Loki,Avengers,Service B,Closed,Low,Low,Low,Low,2025-07-11T16:27:26.000000,2025-07-11T19:27:26.000000,2025-07-13T18:27:26.000000,2,Friday,3.0,47.0,50.0,0,2025-28
SR-0017380,Request configuration of project-specific tools,Failure,Hulk,Hulk,Avengers,Service B,Closed,Low,Low,Low,Low,2025-07-11T22:32:08.000000,2025-07-12T02:32:08.000000,2025-07-14T04:32:08.000000,4,Friday,4.0,50.0,54.0,1,2025-28
SR-0017381,Request reactivation of existing user account,Failure,John Cena,John Cena,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-07-11T00:11:54.000000,2025-07-11T05:11:54.000000,2025-07-11T18:11:54.000000,0,Friday,5.0,13.0,18.0,0,2025-28
SR-0017382,Request access to secure file transfer service,Access,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-07-11T14:23:30.000000,2025-07-11T16:23:30.000000,2025-07-12T22:23:30.000000,4,Friday,2.0,30.0,32.0,1,2025-28
SR-0017383,Request unblocking of specific email attachment type,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Critical,Medium,High,2025-07-11T15:48:04.000000,2025-07-11T19:48:04.000000,2025-07-11T22:48:04.000000,4,Friday,4.0,3.0,7.0,0,2025-28
SR-0017384,Request user profile migration to new device,Facilities,Captain America,Captain America,Avengers,Service A,Closed,High,Critical,High,High,2025-07-11T05:13:28.000000,2025-07-11T10:13:28.000000,2025-07-11T12:13:28.000000,0,Friday,5.0,2.0,7.0,0,2025-28
SR-0017385,Request change of user role in application,Access,Spiderman,Spiderman,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-07-11T06:30:46.000000,2025-07-11T08:30:46.000000,2025-07-12T19:30:46.000000,4,Friday,2.0,35.0,37.0,1,2025-28
SR-0017386,Request access to document management tools,Access,John Wick,John Wick,Matrix,Service B,Closed,Medium,Critical,High,High,2025-07-11T06:38:47.000000,2025-07-11T14:38:47.000000,2025-07-11T18:38:47.000000,2,Friday,8.0,4.0,12.0,0,2025-28
SR-0017387,Request upgrade to extended user profile,Complaint,Neo,Neo,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-07-11T19:27:29.000000,2025-07-11T21:27:29.000000,2025-07-12T23:27:29.000000,1,Friday,2.0,26.0,28.0,1,2025-28
SR-0017388,Request configuration of project-specific tools,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,Medium,2025-07-11T09:04:42.000000,2025-07-11T13:04:42.000000,2025-07-11T23:04:42.000000,5,Friday,4.0,10.0,14.0,1,2025-28
SR-0017389,Request guest network access,Network,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,High,High,2025-07-11T23:58:23.000000,2025-07-12T01:58:23.000000,2025-07-12T09:58:23.000000,0,Friday,2.0,8.0,10.0,1,2025-28
SR-0017390,Request configuration of high-availability service,Access,Thor,Thor,Avengers,Service C,In Progress,High,Critical,High,Medium,2025-07-11T11:12:42.000000,2025-07-11T15:12:42.000000,,0,Friday,4.0,,,0,2025-28
SR-0017391,Request access to internal information site,Software,Captain America,Captain America,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-07-11T09:34:15.000000,2025-07-11T14:34:15.000000,2025-07-12T09:34:15.000000,0,Friday,5.0,19.0,24.0,0,2025-28
SR-0017392,Request new conference call access details,Access,Captain America,Captain America,Avengers,Service A,New,Low,Critical,High,High,2025-07-11T07:40:11.000000,,,0,Friday,,,,0,2025-28
SR-0017393,Request printing access on office device,Software,Doctor Strange,Doctor Strange,Avengers II,Service C,New,High,High,High,Medium,2025-07-11T18:47:13.000000,,,2,Friday,,,,0,2025-28
SR-0017394,Request productivity software licence,Software,Iron Man,Iron Man,Avengers,Service B,Closed,Low,High,High,Medium,2025-07-11T13:50:03.000000,2025-07-11T15:50:03.000000,2025-07-12T06:50:03.000000,2,Friday,2.0,15.0,17.0,1,2025-28
SR-0017395,Request change of default language settings,Network,Thor,Thor,Avengers,Service A,New,Low,Critical,High,High,2025-07-12T10:31:54.000000,,,2,Saturday,,,,0,2025-28
SR-0017396,Request access to a shared resource,Hardware,Thor,Thor,Avengers,Service A,Closed,High,Medium,Low,Medium,2025-07-12T16:39:54.000000,2025-07-12T22:39:54.000000,2025-07-13T13:39:54.000000,5,Saturday,6.0,15.0,21.0,0,2025-28
SR-0017397,Request increase of mailbox storage,Hardware,Hulk,Hulk,Avengers,Service C,Closed,High,High,Medium,High,2025-07-12T05:18:47.000000,2025-07-12T12:18:47.000000,2025-07-12T18:18:47.000000,2,Saturday,7.0,6.0,13.0,0,2025-28
SR-0017398,Request change of default web browser,Complaint,Neo,Neo,Matrix,Service A,On Hold,High,Medium,Medium,Medium,2025-07-12T01:26:13.000000,,,0,Saturday,,,,0,2025-28
SR-0017399,Request device hardware upgrade,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-07-12T19:01:15.000000,2025-07-13T03:01:15.000000,2025-07-14T14:01:15.000000,3,Saturday,8.0,35.0,43.0,1,2025-28
SR-0017400,Request access to archived information,Complaint,Loki,Loki,Avengers,Service C,Closed,High,High,High,Medium,2025-07-12T09:47:58.000000,2025-07-12T14:47:58.000000,2025-07-12T22:47:58.000000,4,Saturday,5.0,8.0,13.0,0,2025-28
SR-0017401,Request change of default language settings,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Medium,Low,Low,2025-07-12T00:11:52.000000,2025-07-12T07:11:52.000000,2025-07-13T10:11:52.000000,1,Saturday,7.0,27.0,34.0,1,2025-28
SR-0017402,Request access to collaboration tool,Complaint,Thor,Thor,Avengers,Service C,Closed,Low,High,Medium,High,2025-07-12T02:01:59.000000,2025-07-12T07:01:59.000000,2025-07-13T06:01:59.000000,3,Saturday,5.0,23.0,28.0,1,2025-28
SR-0017403,Request remote access enablement,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Critical,High,High,2025-07-12T23:48:09.000000,2025-07-13T06:48:09.000000,2025-07-13T09:48:09.000000,4,Saturday,7.0,3.0,10.0,0,2025-28
SR-0017404,Request account details update,Data,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,High,High,Medium,2025-07-12T17:08:44.000000,2025-07-12T21:08:44.000000,2025-07-13T05:08:44.000000,2,Saturday,4.0,8.0,12.0,0,2025-28
SR-0017405,Request increase of mailbox storage,Facilities,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,High,2025-07-12T00:53:02.000000,2025-07-12T07:53:02.000000,2025-07-12T12:53:02.000000,1,Saturday,7.0,5.0,12.0,1,2025-28
SR-0017406,Request setup of shared document library,Complaint,Hulk,Hulk,Avengers,Service A,Closed,Medium,High,High,High,2025-07-12T09:19:01.000000,2025-07-12T17:19:01.000000,2025-07-13T10:19:01.000000,0,Saturday,8.0,17.0,25.0,1,2025-28
SR-0017407,Request activation of additional login security,Facilities,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-07-12T13:27:23.000000,2025-07-12T16:27:23.000000,2025-07-13T01:27:23.000000,2,Saturday,3.0,9.0,12.0,1,2025-28
SR-0017408,Request access to test environment data,Hardware,Iron Man,Iron Man,Avengers,Service B,New,Medium,Medium,Medium,Medium,2025-07-12T09:26:01.000000,,,5,Saturday,,,,0,2025-28
SR-0017409,Request upgrade to extended user profile,Access,Thor,Thor,Avengers,Service A,In Progress,Medium,High,Medium,High,2025-07-12T05:23:40.000000,2025-07-12T11:23:40.000000,,2,Saturday,6.0,,,0,2025-28
SR-0017410,Request activation of additional login security,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Critical,High,High,2025-07-12T18:15:36.000000,2025-07-12T20:15:36.000000,2025-07-13T08:15:36.000000,5,Saturday,2.0,12.0,14.0,1,2025-28
SR-0017411,Request access to internal help and knowledge portal,Network,Hulk,Hulk,Avengers,Service B,Closed,Low,Medium,Low,Low,2025-07-12T10:13:34.000000,2025-07-12T14:13:34.000000,2025-07-14T00:13:34.000000,2,Saturday,4.0,34.0,38.0,1,2025-28
SR-0017412,Request access to archived information,Failure,Hulk,Hulk,Avengers,Service B,In Progress,Low,Critical,High,High,2025-07-12T01:42:15.000000,2025-07-12T05:42:15.000000,,0,Saturday,4.0,,,0,2025-28
SR-0017413,Request access to learning and training portal,Facilities,Neo,Neo,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-07-12T03:03:50.000000,2025-07-12T07:03:50.000000,2025-07-13T12:03:50.000000,1,Saturday,4.0,29.0,33.0,1,2025-28
SR-0017414,Request access to test environment data,Failure,Thor,Thor,Avengers,Service A,Closed,Low,High,High,High,2025-07-12T13:22:18.000000,2025-07-12T15:22:18.000000,2025-07-12T23:22:18.000000,0,Saturday,2.0,8.0,10.0,0,2025-28
SR-0017415,Request configuration of high-availability service,Data,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,High,2025-07-12T14:45:03.000000,2025-07-12T20:45:03.000000,2025-07-13T03:45:03.000000,0,Saturday,6.0,7.0,13.0,1,2025-28
SR-0017416,Request removal of unused virtual environment,Access,Captain America,Captain America,Avengers,Service C,Closed,High,Critical,High,High,2025-07-12T17:23:45.000000,2025-07-12T23:23:45.000000,2025-07-13T03:23:45.000000,1,Saturday,6.0,4.0,10.0,0,2025-28
SR-0017417,Request creation of shared collaboration space,Complaint,Spiderman,Spiderman,Avengers II,Service B,New,High,High,High,Medium,2025-07-12T15:18:05.000000,,,3,Saturday,,,,0,2025-28
SR-0017418,Request change in routing for service access,Software,Iron Man,Iron Man,Avengers,Service B,New,Medium,Critical,High,High,2025-07-12T02:44:39.000000,,,5,Saturday,,,,0,2025-28
SR-0017419,Request increase of mailbox storage,Facilities,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-07-12T02:37:54.000000,2025-07-12T06:37:54.000000,2025-07-12T14:37:54.000000,3,Saturday,4.0,8.0,12.0,1,2025-28
SR-0017420,Request configuration of high-availability service,Facilities,Captain America,Captain America,Avengers,Service C,Closed,Low,High,Medium,Medium,2025-07-12T00:27:44.000000,2025-07-12T03:27:44.000000,2025-07-12T19:27:44.000000,2,Saturday,3.0,16.0,19.0,1,2025-28
SR-0017421,Request VPN access from additional device,Data,Thor,Thor,Avengers,Service A,Closed,Medium,High,Medium,High,2025-07-12T03:25:22.000000,2025-07-12T10:25:22.000000,2025-07-13T10:25:22.000000,4,Saturday,7.0,24.0,31.0,1,2025-28
SR-0017422,Request replacement of input device,Network,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Low,Low,Low,2025-07-12T02:06:57.000000,2025-07-12T07:06:57.000000,2025-07-14T15:06:57.000000,1,Saturday,5.0,56.0,61.0,1,2025-28
SR-0017423,Request configuration of project-specific tools,Data,Loki,Loki,Avengers,Service A,New,Low,Medium,Low,Medium,2025-07-12T12:10:19.000000,,,5,Saturday,,,,0,2025-28
SR-0017424,Request access to secure file transfer service,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Medium,Low,Low,2025-07-12T23:10:29.000000,2025-07-13T07:10:29.000000,2025-07-14T02:10:29.000000,0,Saturday,8.0,19.0,27.0,0,2025-28
SR-0017425,Request remote access to internal application,Complaint,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,High,High,Medium,2025-07-12T18:06:30.000000,2025-07-12T22:06:30.000000,2025-07-13T18:06:30.000000,0,Saturday,4.0,20.0,24.0,1,2025-28
SR-0017426,Request setup of network storage connection,Data,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-07-12T08:23:18.000000,2025-07-12T11:23:18.000000,2025-07-14T10:23:18.000000,4,Saturday,3.0,47.0,50.0,0,2025-28
SR-0017427,Request printing access on office device,Facilities,Thor,Thor,Avengers,Service C,Closed,Low,High,Medium,High,2025-07-12T20:54:39.000000,2025-07-13T00:54:39.000000,2025-07-13T20:54:39.000000,4,Saturday,4.0,20.0,24.0,1,2025-28
SR-0017428,Request temporary elevated permissions on device,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Critical,High,High,2025-07-12T10:29:25.000000,2025-07-12T16:29:25.000000,2025-07-12T20:29:25.000000,5,Saturday,6.0,4.0,10.0,0,2025-28
SR-0017429,Request setup of email forwarding rule,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,Critical,High,High,2025-07-12T18:26:44.000000,2025-07-12T20:26:44.000000,2025-07-13T04:26:44.000000,5,Saturday,2.0,8.0,10.0,1,2025-28
SR-0017430,Request creation of a user account,Failure,Captain America,Captain America,Avengers,Service C,Closed,Low,Critical,High,Medium,2025-07-12T16:59:06.000000,2025-07-13T00:59:06.000000,2025-07-13T10:59:06.000000,3,Saturday,8.0,10.0,18.0,1,2025-28
SR-0017431,Request creation of generic team login,Software,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Medium,High,High,Medium,2025-07-12T22:51:29.000000,2025-07-13T00:51:29.000000,2025-07-13T06:51:29.000000,1,Saturday,2.0,6.0,8.0,0,2025-28
SR-0017432,Request update to data retention settings,Network,Thor,Thor,Avengers,Service A,New,Medium,Medium,Medium,Low,2025-07-12T21:33:41.000000,,,0,Saturday,,,,0,2025-28
SR-0017433,Request VPN access from additional device,Access,Captain America,Captain America,Avengers,Service A,Closed,High,Low,Low,Low,2025-07-12T11:54:13.000000,2025-07-12T13:54:13.000000,2025-07-14T14:54:13.000000,5,Saturday,2.0,49.0,51.0,1,2025-28
SR-0017434,Request creation of shared collaboration space,Data,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,Critical,High,High,2025-07-12T04:27:29.000000,2025-07-12T08:27:29.000000,2025-07-12T19:27:29.000000,4,Saturday,4.0,11.0,15.0,1,2025-28
SR-0017435,Request creation of generic team login,Network,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,High,2025-07-12T12:53:08.000000,2025-07-12T19:53:08.000000,2025-07-13T06:53:08.000000,1,Saturday,7.0,11.0,18.0,1,2025-28
