Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,Risk,Urgency,Impact,State,Priority,Created,Day,Start Date,Closed,Reopen Count,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CHG-0000496,Data export scheduled,Facilities,John Cena,John Cena,Matrix,Service E,Low,High,Medium,Closed,Medium,2025-06-19T19:50:28.000000,Thursday,2025-06-20T02:50:28.000000,2025-06-21T13:50:28.000000,2,7.0,35.0,42.0,1
CHG-0000497,Data export scheduled,Access,Thor,Thor,Avengers,Service C,Low,Medium,Low,Closed,Medium,2025-06-20T13:35:46.000000,Friday,2025-06-20T17:35:46.000000,2025-06-22T05:35:46.000000,2,4.0,36.0,40.0,1
CHG-0000498,Application license assigned,Complaint,Spiderman,Spiderman,Avengers II,Service A,Low,Low,Medium,Closed,Medium,2025-06-20T23:52:14.000000,Friday,2025-06-21T05:52:14.000000,2025-06-22T04:52:14.000000,2,6.0,23.0,29.0,0
CHG-0000499,System backup restored,Data,Thor,Thor,Avengers,Service E,Medium,Medium,High,Closed,Medium,2025-06-21T12:00:42.000000,Saturday,2025-06-21T15:00:42.000000,2025-06-23T03:00:42.000000,4,3.0,36.0,39.0,1
CHG-0000500,System cache cleared,Network,Captain America,Captain America,Avengers,Service A,Low,Medium,High,Closed,High,2025-06-21T04:29:50.000000,Saturday,2025-06-21T10:29:50.000000,2025-06-22T09:29:50.000000,1,6.0,23.0,29.0,1
CHG-0000501,Application shortcut created,Data,John Cena,John Cena,Matrix,Service A,High,High,Low,Closed,Medium,2025-06-21T11:44:04.000000,Saturday,2025-06-21T18:44:04.000000,2025-06-22T01:44:04.000000,1,7.0,7.0,14.0,0
CHG-0000502,Resource allocation changed,Data,Thor,Thor,Avengers,Service C,Medium,Low,Medium,Closed,Medium,2025-06-21T15:01:28.000000,Saturday,2025-06-21T17:01:28.000000,2025-06-22T03:01:28.000000,5,2.0,10.0,12.0,0
CHG-0000503,User profile updated,Access,Batman,Batman,Matrix,Service C,High,Medium,Low,Closed,Low,2025-06-21T14:23:04.000000,Saturday,2025-06-21T16:23:04.000000,2025-06-22T03:23:04.000000,5,2.0,11.0,13.0,0
CHG-0000504,Network route adjusted,Access,Loki,Loki,Avengers,Service E,Low,High,Medium,Closed,Medium,2025-06-22T18:07:04.000000,Sunday,2025-06-22T21:07:04.000000,2025-06-23T22:07:04.000000,4,3.0,25.0,28.0,1
CHG-0000505,Device access restricted,Access,Loki,Loki,Avengers,Service C,High,High,Low,Closed,High,2025-06-22T10:12:46.000000,Sunday,2025-06-22T16:12:46.000000,2025-06-22T20:12:46.000000,1,6.0,4.0,10.0,0
CHG-0000506,Password policy updated,Hardware,John Wick,John Wick,Matrix,Service B,Medium,Medium,Medium,Closed,Medium,2025-06-22T21:00:42.000000,Sunday,2025-06-23T03:00:42.000000,2025-06-23T18:00:42.000000,3,6.0,15.0,21.0,0
CHG-0000507,System role assigned,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,High,Low,Low,On Hold,Medium,2025-06-22T19:30:11.000000,Sunday,,,2,0.0,0.0,0.0,0
CHG-0000508,Configuration setting changed,Data,Captain America,Captain America,Avengers,Service A,Low,High,Medium,On Hold,Low,2025-06-22T09:06:38.000000,Sunday,,,0,0.0,0.0,0.0,0
CHG-0000509,Resource allocation changed,Network,Thor,Thor,Avengers,Service A,Low,Medium,Low,Closed,High,2025-06-23T17:00:05.000000,Monday,2025-06-23T19:00:05.000000,2025-06-25T04:00:05.000000,2,2.0,33.0,35.0,1
CHG-0000510,Access policy reviewed,Data,John Cena,John Cena,Matrix,Service E,High,Low,High,Closed,Medium,2025-06-24T18:21:22.000000,Tuesday,2025-06-25T02:21:22.000000,2025-06-25T11:21:22.000000,3,8.0,9.0,17.0,0
CHG-0000511,Password policy updated,Hardware,Loki,Loki,Avengers,Service E,High,High,Medium,Closed,High,2025-06-24T02:32:53.000000,Tuesday,2025-06-24T06:32:53.000000,2025-06-24T10:32:53.000000,5,4.0,4.0,8.0,0
CHG-0000512,Monitoring rules adjusted,Data,Hulk,Hulk,Avengers,Service C,High,Low,Medium,In Progress,Low,2025-06-24T10:25:55.000000,Tuesday,2025-06-24T18:25:55.000000,,3,8.0,0.0,0.0,0
CHG-0000513,System role assigned,Complaint,Hulk,Hulk,Avengers,Service A,Medium,High,High,Closed,High,2025-06-25T05:48:56.000000,Wednesday,2025-06-25T13:48:56.000000,2025-06-26T19:48:56.000000,1,8.0,30.0,38.0,1
CHG-0000514,Device configuration updated,Network,Thor,Thor,Avengers,Service C,Medium,Medium,Medium,Closed,High,2025-06-25T20:51:42.000000,Wednesday,2025-06-25T23:51:42.000000,2025-06-26T04:51:42.000000,4,3.0,5.0,8.0,0
CHG-0000515,Device firmware updated,Complaint,Neo,Neo,Matrix,Service B,Medium,Low,Medium,Closed,High,2025-06-25T04:55:34.000000,Wednesday,2025-06-25T08:55:34.000000,2025-06-25T21:55:34.000000,3,4.0,13.0,17.0,0
CHG-0000516,Application shortcut created,Software,Thor,Thor,Avengers,Service A,High,High,Medium,Closed,Medium,2025-06-25T04:32:48.000000,Wednesday,2025-06-25T06:32:48.000000,2025-06-25T18:32:48.000000,5,2.0,12.0,14.0,0
CHG-0000517,Resource allocation changed,Access,Hulk,Hulk,Avengers,Service E,Low,High,Low,In Progress,High,2025-06-26T13:53:30.000000,Thursday,2025-06-26T15:53:30.000000,,5,2.0,0.0,0.0,0
CHG-0000518,Application license assigned,Network,Jack Sparrow,Jack Sparrow,Matrix,Service E,Medium,Low,Medium,In Progress,High,2025-06-26T06:09:43.000000,Thursday,2025-06-26T10:09:43.000000,,2,4.0,0.0,0.0,0
CHG-0000519,Application log reviewed,Data,Captain America,Captain America,Avengers,Service A,Medium,Medium,Medium,Closed,Low,2025-06-27T04:27:29.000000,Friday,2025-06-27T11:27:29.000000,2025-06-27T22:27:29.000000,1,7.0,11.0,18.0,0
CHG-0000520,System backup restored,Network,John Wick,John Wick,Matrix,Service D,Medium,High,Medium,In Progress,Medium,2025-06-27T06:08:56.000000,Friday,2025-06-27T11:08:56.000000,,5,5.0,0.0,0.0,0
CHG-0000521,System role assigned,Complaint,Captain America,Captain America,Avengers,Service C,Medium,High,High,Closed,High,2025-06-27T00:47:42.000000,Friday,2025-06-27T05:47:42.000000,2025-06-28T01:47:42.000000,1,5.0,20.0,25.0,1
CHG-0000522,User account updated,Facilities,Batman,Batman,Matrix,Service E,Medium,Low,Medium,Closed,Medium,2025-06-28T17:05:17.000000,Saturday,2025-06-28T23:05:17.000000,2025-06-29T10:05:17.000000,1,6.0,11.0,17.0,0
CHG-0000523,System backup restored,Facilities,Iron Man,Iron Man,Avengers,Service E,High,High,High,Closed,High,2025-06-28T07:32:28.000000,Saturday,2025-06-28T12:32:28.000000,2025-06-29T02:32:28.000000,0,5.0,14.0,19.0,0
CHG-0000524,Alert threshold changed,Data,Hulk,Hulk,Avengers,Service B,Medium,High,Medium,Closed,Critical,2025-06-28T23:29:10.000000,Saturday,2025-06-29T02:29:10.000000,2025-06-30T08:29:10.000000,3,3.0,30.0,33.0,1
CHG-0000525,User account updated,Software,Neo,Neo,Matrix,Service E,High,Medium,Medium,Closed,Low,2025-06-28T13:12:38.000000,Saturday,2025-06-28T16:12:38.000000,2025-06-30T01:12:38.000000,2,3.0,33.0,36.0,0
CHG-0000526,Database maintenance completed,Hardware,Spiderman,Spiderman,Avengers II,Service C,Low,High,High,Closed,Medium,2025-06-28T04:21:54.000000,Saturday,2025-06-28T11:21:54.000000,2025-06-29T04:21:54.000000,4,7.0,17.0,24.0,0
CHG-0000527,Application feature enabled,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,High,Medium,Low,Closed,Low,2025-06-29T11:44:25.000000,Sunday,2025-06-29T15:44:25.000000,2025-06-30T11:44:25.000000,1,4.0,20.0,24.0,0
CHG-0000528,Routine maintenance performed,Complaint,Batman,Batman,Matrix,Service A,High,Low,Low,New,Low,2025-06-30T15:28:00.000000,Monday,,,3,0.0,0.0,0.0,0
CHG-0000529,Service endpoint modified,Software,Captain Marvel,Captain Marvel,Avengers II,Service B,Low,Medium,High,Closed,Medium,2025-06-30T07:34:01.000000,Monday,2025-06-30T10:34:01.000000,2025-07-01T15:34:01.000000,5,3.0,29.0,32.0,1
CHG-0000530,Service restarted,Access,Thor,Thor,Avengers,Service C,High,High,Low,Closed,Low,2025-07-01T02:25:09.000000,Tuesday,2025-07-01T05:25:09.000000,2025-07-01T18:25:09.000000,2,3.0,13.0,16.0,0
CHG-0000531,Application license assigned,Data,Loki,Loki,Avengers,Service A,Medium,Low,Medium,New,High,2025-07-01T03:49:12.000000,Tuesday,,,5,0.0,0.0,0.0,0
CHG-0000532,System resource increased,Complaint,Captain America,Captain America,Avengers,Service D,High,Low,High,Closed,High,2025-07-01T05:20:56.000000,Tuesday,2025-07-01T10:20:56.000000,2025-07-01T13:20:56.000000,3,5.0,3.0,8.0,0
CHG-0000533,Application license assigned,Failure,Thor,Thor,Avengers,Service C,Medium,Medium,Low,Closed,Low,2025-07-01T20:28:31.000000,Tuesday,2025-07-02T03:28:31.000000,2025-07-03T11:28:31.000000,3,7.0,32.0,39.0,0
CHG-0000534,Application feature enabled,Failure,Hulk,Hulk,Avengers,Service A,High,Medium,High,Closed,High,2025-07-01T07:05:10.000000,Tuesday,2025-07-01T13:05:10.000000,2025-07-02T12:05:10.000000,4,6.0,23.0,29.0,1
CHG-0000535,Service integration updated,Access,Loki,Loki,Avengers,Service E,High,Medium,Low,Closed,Critical,2025-07-02T06:32:08.000000,Wednesday,2025-07-02T12:32:08.000000,2025-07-03T04:32:08.000000,2,6.0,16.0,22.0,1
CHG-0000536,System role assigned,Failure,Spiderman,Spiderman,Avengers II,Service C,Medium,Low,Medium,Closed,Medium,2025-07-03T05:24:30.000000,Thursday,2025-07-03T09:24:30.000000,2025-07-04T02:24:30.000000,2,4.0,17.0,21.0,0
CHG-0000537,Service integration updated,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service E,High,Low,Low,Closed,High,2025-07-03T02:15:54.000000,Thursday,2025-07-03T06:15:54.000000,2025-07-04T11:15:54.000000,0,4.0,29.0,33.0,1
CHG-0000538,Device removed from inventory,Facilities,Loki,Loki,Avengers,Service A,High,High,Medium,Closed,Medium,2025-07-03T01:34:28.000000,Thursday,2025-07-03T08:34:28.000000,2025-07-03T22:34:28.000000,2,7.0,14.0,21.0,0
CHG-0000539,Backup schedule updated,Failure,Spiderman,Spiderman,Avengers II,Service B,Low,Low,Low,Closed,Medium,2025-07-04T02:29:52.000000,Friday,2025-07-04T04:29:52.000000,2025-07-04T06:29:52.000000,4,2.0,2.0,4.0,0
CHG-0000540,Device firmware updated,Data,Captain America,Captain America,Avengers,Service E,Medium,High,High,Closed,High,2025-07-04T13:28:38.000000,Friday,2025-07-04T18:28:38.000000,2025-07-05T12:28:38.000000,1,5.0,18.0,23.0,1
CHG-0000541,System resource increased,Complaint,Shang Chi,Shang Chi,Avengers II,Service E,Medium,Low,Medium,In Progress,Low,2025-07-04T21:40:02.000000,Friday,2025-07-05T00:40:02.000000,,4,3.0,0.0,0.0,0
CHG-0000542,Service integration updated,Data,Thor,Thor,Avengers,Service B,Medium,High,High,Closed,Medium,2025-07-04T01:21:12.000000,Friday,2025-07-04T09:21:12.000000,2025-07-05T10:21:12.000000,1,8.0,25.0,33.0,1
CHG-0000543,Access policy reviewed,Software,Iron Man,Iron Man,Avengers,Service C,High,Medium,Medium,On Hold,Low,2025-07-04T23:39:21.000000,Friday,,,3,0.0,0.0,0.0,0
CHG-0000544,User authentication method updated,Failure,Loki,Loki,Avengers,Service B,High,Medium,Low,Closed,Medium,2025-07-05T08:15:24.000000,Saturday,2025-07-05T15:15:24.000000,2025-07-06T08:15:24.000000,4,7.0,17.0,24.0,0
CHG-0000545,Service endpoint modified,Software,Iron Man,Iron Man,Avengers,Service C,High,High,High,Closed,High,2025-07-05T06:30:01.000000,Saturday,2025-07-05T11:30:01.000000,2025-07-06T08:30:01.000000,3,5.0,21.0,26.0,1
CHG-0000546,Service integration updated,Access,Thor,Thor,Avengers,Service D,High,Low,Medium,Closed,Medium,2025-07-05T01:20:39.000000,Saturday,2025-07-05T04:20:39.000000,2025-07-05T12:20:39.000000,4,3.0,8.0,11.0,0
CHG-0000547,Service integration updated,Complaint,Loki,Loki,Avengers,Service E,Low,Medium,High,Closed,Medium,2025-07-05T10:07:23.000000,Saturday,2025-07-05T13:07:23.000000,2025-07-06T09:07:23.000000,4,3.0,20.0,23.0,0
CHG-0000548,User group membership changed,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service A,Low,Low,Low,In Progress,Medium,2025-07-05T15:04:49.000000,Saturday,2025-07-05T21:04:49.000000,,1,6.0,0.0,0.0,0
CHG-0000549,Data retention policy updated,Hardware,Shang Chi,Shang Chi,Avengers II,Service E,High,High,Low,Closed,Medium,2025-07-06T10:42:33.000000,Sunday,2025-07-06T17:42:33.000000,2025-07-07T02:42:33.000000,0,7.0,9.0,16.0,0
CHG-0000550,Application deployed,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service E,High,Medium,High,Closed,Low,2025-07-06T18:01:42.000000,Sunday,2025-07-06T20:01:42.000000,2025-07-07T14:01:42.000000,4,2.0,18.0,20.0,0
CHG-0000551,Device configuration updated,Hardware,Spiderman,Spiderman,Avengers II,Service E,High,High,Medium,Closed,Low,2025-07-07T05:35:07.000000,Monday,2025-07-07T12:35:07.000000,2025-07-08T04:35:07.000000,5,7.0,16.0,23.0,0
CHG-0000552,Network route adjusted,Data,Captain America,Captain America,Avengers,Service D,Low,Low,Low,Closed,Low,2025-07-07T19:48:21.000000,Monday,2025-07-07T23:48:21.000000,2025-07-08T17:48:21.000000,1,4.0,18.0,22.0,0
CHG-0000553,Service integration updated,Software,Neo,Neo,Matrix,Service E,Low,Medium,Medium,Closed,Medium,2025-07-07T08:24:43.000000,Monday,2025-07-07T12:24:43.000000,2025-07-07T23:24:43.000000,5,4.0,11.0,15.0,0
CHG-0000554,User authentication method updated,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,High,Medium,Medium,Closed,Low,2025-07-07T13:16:16.000000,Monday,2025-07-07T18:16:16.000000,2025-07-08T14:16:16.000000,1,5.0,20.0,25.0,0
CHG-0000555,User account updated,Software,Doctor Strange,Doctor Strange,Avengers II,Service D,Low,High,High,Closed,Medium,2025-07-07T12:48:48.000000,Monday,2025-07-07T16:48:48.000000,2025-07-08T18:48:48.000000,3,4.0,26.0,30.0,1
CHG-0000556,Network route adjusted,Access,Captain America,Captain America,Avengers,Service A,Low,Low,Low,In Progress,Low,2025-07-08T17:14:03.000000,Tuesday,2025-07-08T21:14:03.000000,,2,4.0,0.0,0.0,0
CHG-0000557,Application feature enabled,Facilities,John Cena,John Cena,Matrix,Service E,High,High,High,Closed,Medium,2025-07-08T11:47:12.000000,Tuesday,2025-07-08T17:47:12.000000,2025-07-09T13:47:12.000000,3,6.0,20.0,26.0,0
CHG-0000558,Alert threshold changed,Software,John Wick,John Wick,Matrix,Service A,Low,Medium,Low,Closed,Medium,2025-07-08T21:21:26.000000,Tuesday,2025-07-09T03:21:26.000000,2025-07-10T15:21:26.000000,0,6.0,36.0,42.0,1
CHG-0000559,System log settings updated,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Medium,High,High,Closed,High,2025-07-08T22:41:11.000000,Tuesday,2025-07-09T01:41:11.000000,2025-07-09T06:41:11.000000,2,3.0,5.0,8.0,0
CHG-0000560,User profile updated,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service E,Low,Low,Medium,Closed,Medium,2025-07-08T11:59:09.000000,Tuesday,2025-07-08T18:59:09.000000,2025-07-09T10:59:09.000000,5,7.0,16.0,23.0,0
CHG-0000561,Application license assigned,Hardware,Captain America,Captain America,Avengers,Service A,Medium,Low,High,Closed,Medium,2025-07-09T10:42:27.000000,Wednesday,2025-07-09T12:42:27.000000,2025-07-10T18:42:27.000000,5,2.0,30.0,32.0,1
CHG-0000562,System resource increased,Software,Thor,Thor,Avengers,Service A,Medium,Low,Medium,Closed,Medium,2025-07-09T21:39:37.000000,Wednesday,2025-07-10T02:39:37.000000,2025-07-11T11:39:37.000000,2,5.0,33.0,38.0,1
CHG-0000563,Data import completed,Network,Thor,Thor,Avengers,Service E,Low,High,High,Closed,Critical,2025-07-10T11:47:45.000000,Thursday,2025-07-10T14:47:45.000000,2025-07-11T19:47:45.000000,1,3.0,29.0,32.0,1
CHG-0000564,Device access restricted,Complaint,Hulk,Hulk,Avengers,Service A,Medium,High,Low,Closed,High,2025-07-10T00:04:31.000000,Thursday,2025-07-10T02:04:31.000000,2025-07-10T08:04:31.000000,0,2.0,6.0,8.0,0
CHG-0000565,Service integration updated,Complaint,Captain America,Captain America,Avengers,Service E,High,Low,Low,Closed,High,2025-07-10T07:26:47.000000,Thursday,2025-07-10T14:26:47.000000,2025-07-11T06:26:47.000000,5,7.0,16.0,23.0,0
CHG-0000566,Application feature enabled,Facilities,Loki,Loki,Avengers,Service B,Low,Medium,Low,New,High,2025-07-10T16:43:24.000000,Thursday,,,0,0.0,0.0,0.0,0
CHG-0000567,Service dependency changed,Data,Hulk,Hulk,Avengers,Service A,High,Medium,Low,Closed,High,2025-07-10T08:49:27.000000,Thursday,2025-07-10T15:49:27.000000,2025-07-10T19:49:27.000000,5,7.0,4.0,11.0,0
CHG-0000568,Application shortcut created,Failure,John Wick,John Wick,Matrix,Service D,Medium,Medium,Low,Closed,High,2025-07-11T23:17:19.000000,Friday,2025-07-12T02:17:19.000000,2025-07-13T08:17:19.000000,4,3.0,30.0,33.0,1
CHG-0000569,Password policy updated,Facilities,Loki,Loki,Avengers,Service A,High,High,Low,Closed,High,2025-07-11T17:50:41.000000,Friday,2025-07-11T21:50:41.000000,2025-07-13T09:50:41.000000,4,4.0,36.0,40.0,1
CHG-0000570,User profile updated,Access,Spiderman,Spiderman,Avengers II,Service C,Medium,Medium,High,Closed,High,2025-07-11T06:39:23.000000,Friday,2025-07-11T12:39:23.000000,2025-07-12T21:39:23.000000,5,6.0,33.0,39.0,1
CHG-0000571,System update applied,Network,Hulk,Hulk,Avengers,Service E,Low,Medium,Medium,Closed,Medium,2025-07-11T15:41:31.000000,Friday,2025-07-11T18:41:31.000000,2025-07-11T21:41:31.000000,2,3.0,3.0,6.0,0
CHG-0000572,User group membership changed,Failure,Loki,Loki,Avengers,Service B,Low,Low,High,Closed,Medium,2025-07-12T09:09:34.000000,Saturday,2025-07-12T14:09:34.000000,2025-07-12T17:09:34.000000,5,5.0,3.0,8.0,0
CHG-0000573,Network settings adjusted,Hardware,Shang Chi,Shang Chi,Avengers II,Service E,Medium,High,High,In Progress,Critical,2025-07-12T19:49:06.000000,Saturday,2025-07-13T00:49:06.000000,,3,5.0,0.0,0.0,0
CHG-0000574,Data import completed,Data,Loki,Loki,Avengers,Service E,Low,Low,Low,Closed,Critical,2025-07-12T11:21:59.000000,Saturday,2025-07-12T18:21:59.000000,2025-07-13T10:21:59.000000,3,7.0,16.0,23.0,1
CHG-0000575,Database maintenance completed,Complaint,Loki,Loki,Avengers,Service E,Low,High,High,Closed,Medium,2025-07-13T22:17:35.000000,Sunday,2025-07-14T01:17:35.000000,2025-07-14T09:17:35.000000,5,3.0,8.0,11.0,0
CHG-0000576,System resource increased,Software,Captain America,Captain America,Avengers,Service E,Medium,Medium,Medium,Closed,Critical,2025-07-13T18:05:29.000000,Sunday,2025-07-13T22:05:29.000000,2025-07-14T08:05:29.000000,0,4.0,10.0,14.0,1
CHG-0000577,User profile updated,Complaint,Spiderman,Spiderman,Avengers II,Service B,Medium,Low,Medium,Closed,Medium,2025-07-13T17:26:46.000000,Sunday,2025-07-13T20:26:46.000000,2025-07-14T01:26:46.000000,3,3.0,5.0,8.0,0
CHG-0000578,Application shortcut created,Failure,Hulk,Hulk,Avengers,Service E,Medium,Low,High,Closed,Low,2025-07-13T09:08:55.000000,Sunday,2025-07-13T11:08:55.000000,2025-07-14T03:08:55.000000,5,2.0,16.0,18.0,0
CHG-0000579,Application log reviewed,Hardware,Iron Man,Iron Man,Avengers,Service D,Medium,Medium,Low,Closed,High,2025-07-14T10:10:33.000000,Monday,2025-07-14T15:10:33.000000,2025-07-16T00:10:33.000000,3,5.0,33.0,38.0,1
CHG-0000580,Application access granted,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service D,High,Low,Medium,Closed,Critical,2025-07-14T08:11:56.000000,Monday,2025-07-14T10:11:56.000000,2025-07-14T13:11:56.000000,4,2.0,3.0,5.0,0
CHG-0000581,System backup restored,Access,Jack Sparrow,Jack Sparrow,Matrix,Service D,Medium,Medium,High,Closed,Medium,2025-07-15T01:17:35.000000,Tuesday,2025-07-15T04:17:35.000000,2025-07-16T02:17:35.000000,3,3.0,22.0,25.0,0
CHG-0000582,User session reset,Failure,Neo,Neo,Matrix,Service D,High,Medium,Low,Closed,Low,2025-07-15T01:26:26.000000,Tuesday,2025-07-15T06:26:26.000000,2025-07-16T02:26:26.000000,0,5.0,20.0,25.0,0
CHG-0000583,System resource increased,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service D,Low,Medium,Low,Closed,High,2025-07-16T23:04:24.000000,Wednesday,2025-07-17T06:04:24.000000,2025-07-18T16:04:24.000000,1,7.0,34.0,41.0,1
CHG-0000584,Alert threshold changed,Software,Loki,Loki,Avengers,Service D,Low,High,High,Closed,Medium,2025-07-16T00:25:42.000000,Wednesday,2025-07-16T07:25:42.000000,2025-07-16T22:25:42.000000,5,7.0,15.0,22.0,0
CHG-0000585,Application deployed,Complaint,Hulk,Hulk,Avengers,Service E,Low,High,High,Closed,High,2025-07-16T15:04:26.000000,Wednesday,2025-07-16T21:04:26.000000,2025-07-18T07:04:26.000000,1,6.0,34.0,40.0,1
CHG-0000586,Application license assigned,Access,Loki,Loki,Avengers,Service E,Low,Low,Low,Closed,Low,2025-07-17T14:30:59.000000,Thursday,2025-07-17T21:30:59.000000,2025-07-18T17:30:59.000000,4,7.0,20.0,27.0,0
CHG-0000587,Database maintenance completed,Network,Iron Man,Iron Man,Avengers,Service C,High,Low,Low,Closed,Medium,2025-07-17T08:51:30.000000,Thursday,2025-07-17T13:51:30.000000,2025-07-18T13:51:30.000000,2,5.0,24.0,29.0,0
CHG-0000588,Network route adjusted,Software,Loki,Loki,Avengers,Service A,High,High,Medium,Closed,Medium,2025-07-17T13:44:58.000000,Thursday,2025-07-17T17:44:58.000000,2025-07-18T15:44:58.000000,0,4.0,22.0,26.0,0
CHG-0000589,System role assigned,Network,Loki,Loki,Avengers,Service E,Medium,Medium,Medium,Closed,Low,2025-07-17T02:24:25.000000,Thursday,2025-07-17T07:24:25.000000,2025-07-17T13:24:25.000000,1,5.0,6.0,11.0,0
CHG-0000590,Service endpoint modified,Data,Loki,Loki,Avengers,Service A,Low,Medium,High,On Hold,Low,2025-07-17T05:21:47.000000,Thursday,,,3,0.0,0.0,0.0,0
CHG-0000591,Device firmware updated,Network,Spiderman,Spiderman,Avengers II,Service C,Low,Low,High,Closed,High,2025-07-18T19:38:43.000000,Friday,2025-07-19T00:38:43.000000,2025-07-19T12:38:43.000000,0,5.0,12.0,17.0,0
CHG-0000592,Password policy updated,Hardware,Batman,Batman,Matrix,Service D,Low,Low,High,Closed,Medium,2025-07-18T22:40:37.000000,Friday,2025-07-19T05:40:37.000000,2025-07-20T15:40:37.000000,2,7.0,34.0,41.0,1
CHG-0000593,Configuration setting changed,Access,Iron Man,Iron Man,Avengers,Service C,High,Medium,High,Closed,Medium,2025-07-19T04:39:50.000000,Saturday,2025-07-19T06:39:50.000000,2025-07-19T10:39:50.000000,1,2.0,4.0,6.0,0
CHG-0000594,Device removed from inventory,Failure,Captain Marvel,Captain Marvel,Avengers II,Service C,High,High,High,Closed,Medium,2025-07-19T20:39:06.000000,Saturday,2025-07-20T01:39:06.000000,2025-07-20T12:39:06.000000,0,5.0,11.0,16.0,0
CHG-0000595,Application access granted,Complaint,Loki,Loki,Avengers,Service D,High,Low,Low,Closed,Low,2025-07-19T10:02:31.000000,Saturday,2025-07-19T18:02:31.000000,2025-07-20T09:02:31.000000,4,8.0,15.0,23.0,0
CHG-0000596,System resource increased,Software,John Cena,John Cena,Matrix,Service D,High,High,High,Closed,High,2025-07-19T14:48:08.000000,Saturday,2025-07-19T20:48:08.000000,2025-07-20T05:48:08.000000,0,6.0,9.0,15.0,0
CHG-0000597,System update applied,Facilities,John Cena,John Cena,Matrix,Service B,High,High,Low,Closed,Medium,2025-07-19T18:53:09.000000,Saturday,2025-07-19T20:53:09.000000,2025-07-20T09:53:09.000000,1,2.0,13.0,15.0,0
CHG-0000598,System backup restored,Access,John Cena,John Cena,Matrix,Service E,Low,Low,High,Closed,Medium,2025-07-20T20:26:34.000000,Sunday,2025-07-20T22:26:34.000000,2025-07-21T16:26:34.000000,2,2.0,18.0,20.0,0
CHG-0000599,Software version upgraded,Complaint,Thor,Thor,Avengers,Service C,High,Low,High,Closed,Medium,2025-07-20T08:29:28.000000,Sunday,2025-07-20T14:29:28.000000,2025-07-21T03:29:28.000000,1,6.0,13.0,19.0,0
CHG-0000600,Data retention policy updated,Network,Thor,Thor,Avengers,Service B,Low,High,Low,On Hold,Medium,2025-07-20T06:22:34.000000,Sunday,,,1,0.0,0.0,0.0,0
CHG-0000601,Monitoring rules adjusted,Complaint,John Cena,John Cena,Matrix,Service A,Low,Medium,Medium,Closed,High,2025-07-21T04:17:43.000000,Monday,2025-07-21T06:17:43.000000,2025-07-21T11:17:43.000000,2,2.0,5.0,7.0,0
CHG-0000602,Application deployed,Hardware,Batman,Batman,Matrix,Service C,Medium,High,High,Closed,Medium,2025-07-21T16:23:26.000000,Monday,2025-07-21T21:23:26.000000,2025-07-21T23:23:26.000000,2,5.0,2.0,7.0,0
CHG-0000603,Device access restricted,Complaint,Neo,Neo,Matrix,Service E,High,Medium,Low,Closed,High,2025-07-22T18:28:22.000000,Tuesday,2025-07-22T20:28:22.000000,2025-07-24T06:28:22.000000,5,2.0,34.0,36.0,1
CHG-0000604,Network route adjusted,Facilities,Loki,Loki,Avengers,Service D,Medium,High,High,Closed,Medium,2025-07-22T23:03:14.000000,Tuesday,2025-07-23T07:03:14.000000,2025-07-23T11:03:14.000000,5,8.0,4.0,12.0,0
CHG-0000605,Backup schedule updated,Data,Shang Chi,Shang Chi,Avengers II,Service D,Medium,Low,High,Closed,Medium,2025-07-22T17:00:18.000000,Tuesday,2025-07-22T21:00:18.000000,2025-07-24T06:00:18.000000,4,4.0,33.0,37.0,1
CHG-0000606,Device monitoring enabled,Network,Hulk,Hulk,Avengers,Service D,High,Medium,Medium,On Hold,High,2025-07-23T01:39:06.000000,Wednesday,,,4,0.0,0.0,0.0,0
CHG-0000607,Configuration setting changed,Network,Doctor Strange,Doctor Strange,Avengers II,Service D,Medium,Low,High,Closed,Low,2025-07-23T03:28:38.000000,Wednesday,2025-07-23T10:28:38.000000,2025-07-24T01:28:38.000000,0,7.0,15.0,22.0,0
CHG-0000608,Routine maintenance performed,Access,Loki,Loki,Avengers,Service E,High,High,High,Closed,Medium,2025-07-24T18:35:13.000000,Thursday,2025-07-24T20:35:13.000000,2025-07-25T14:35:13.000000,4,2.0,18.0,20.0,0
CHG-0000609,System log settings updated,Access,Loki,Loki,Avengers,Service B,High,High,Low,On Hold,Medium,2025-07-24T08:36:49.000000,Thursday,,,4,0.0,0.0,0.0,0
CHG-0000610,Application license assigned,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,Medium,High,Medium,Closed,Medium,2025-07-24T18:35:03.000000,Thursday,2025-07-25T00:35:03.000000,2025-07-25T10:35:03.000000,0,6.0,10.0,16.0,0
