Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CR-16131,External IP added to whitelist without approval,Network,Thor,Martin,Avengers,Service A,Closed,High,High,Low,High,2025-06-05T09:19:32.000000,2025-06-05T15:16:55.000000,2025-06-06T18:11:26.000000,0,Thursday,1,5.956388888888889,26.90861111111111,32.865,1
CR-16132,Unusual data download volume from file server,Network,Martin,Martin,Avengers II,Service A,Closed,Medium,High,Medium,High,2025-06-05T02:46:39.000000,2025-06-05T08:42:45.000000,2025-06-07T00:25:54.000000,0,Thursday,1,5.935,39.719166666666666,45.65416666666667,1
CR-16133,Unauthorized access to shared network drive,Failure,Michal,Iron Man,Avengers,Service C,Closed,Medium,High,Medium,High,2025-06-05T11:48:11.000000,2025-06-05T13:38:42.000000,2025-06-05T16:53:52.000000,1,Thursday,0,1.8419444444444444,3.2527777777777778,5.094722222222222,0
CR-16134,Unexpected configuration change on security appliance,Complaint,Iron Man,Captain America,Avengers II,Service B,Closed,High,High,Low,Low,2025-06-05T12:24:41.000000,2025-06-05T14:50:35.000000,2025-06-06T22:16:09.000000,0,Thursday,1,2.4316666666666666,31.426111111111112,33.85777777777778,1
CR-16135,Unexpected configuration change on security appliance,Facilities,Captain America,Jan,Avengers,Service A,Closed,High,High,High,Low,2025-06-05T06:46:58.000000,2025-06-05T09:08:34.000000,2025-06-05T12:05:47.000000,0,Thursday,1,2.36,2.953611111111111,5.313611111111111,0
CR-16136,Blocked attempt to upload sensitive data to cloud storage,Hardware,Martin,Jan,Avengers,Service A,In Progress,Medium,High,Low,Medium,2025-06-05T13:32:27.000000,2025-06-05T19:52:12.000000,,0,Thursday,1,6.329166666666667,0.0,0.0,0
CR-16137,Unusual traffic to anonymization service detected,Facilities,Martin,Peter,Matrix,Service A,Closed,Medium,Medium,High,High,2025-06-05T00:40:11.000000,2025-06-05T08:01:04.000000,2025-06-06T09:00:34.000000,1,Thursday,0,7.348055555555556,24.991666666666667,32.33972222222222,1
CR-16138,Email forwarding rule created without user knowledge,Facilities,Thor,Peter,Avengers II,Service B,Closed,Low,High,High,Medium,2025-06-05T11:02:19.000000,2025-06-05T17:07:41.000000,2025-06-05T23:40:13.000000,0,Thursday,1,6.089444444444444,6.542222222222223,12.631666666666666,0
CR-16139,Multiple password reset requests from same user,Hardware,Michal,Michal,Matrix,Service B,Closed,High,Medium,Low,Medium,2025-06-05T18:19:17.000000,2025-06-05T21:36:19.000000,2025-06-06T00:02:55.000000,0,Thursday,1,3.283888888888889,2.4433333333333334,5.727222222222222,0
CR-16140,Suspicious login attempt from unknown IP address,Data,Captain America,Captain America,Avengers,Service C,Closed,Medium,Low,Low,High,2025-06-05T22:51:50.000000,2025-06-06T07:50:12.000000,2025-06-07T10:32:25.000000,0,Thursday,1,8.972777777777777,26.703611111111112,35.67638888888889,0
CR-16141,Unusual data download volume from file server,Facilities,Peter,Thor,Matrix,Service C,Closed,Medium,Low,Low,Medium,2025-06-05T12:11:05.000000,2025-06-05T16:50:01.000000,2025-06-05T20:48:51.000000,0,Thursday,1,4.648888888888889,3.9805555555555556,8.629444444444445,0
CR-16142,Inactive account used for login attempt,Facilities,Martin,Peter,Avengers,Service A,Closed,Low,Low,Medium,Medium,2025-06-05T16:06:28.000000,2025-06-05T20:24:39.000000,2025-06-07T15:33:09.000000,1,Thursday,0,4.303055555555556,43.141666666666666,47.444722222222225,0
CR-16143,Privilege escalation attempt on production server,Data,Captain America,Jan,Avengers,Service C,Closed,High,Low,Medium,Low,2025-06-05T14:12:14.000000,2025-06-05T18:31:06.000000,2025-06-06T00:31:17.000000,0,Thursday,1,4.314444444444445,6.003055555555555,10.3175,0
CR-16144,Multiple logins from different countries within short timeframe,Hardware,Michal,Peter,Avengers,Service B,Closed,Low,Medium,Low,Medium,2025-06-05T17:20:15.000000,2025-06-05T21:30:06.000000,2025-06-06T22:32:53.000000,0,Thursday,1,4.164166666666667,25.046388888888888,29.210555555555555,1
CR-16145,Unsupported legacy protocol usage detected in network traffic,Hardware,Michal,Peter,Avengers II,Service B,Closed,Low,High,Medium,Low,2025-06-05T22:10:57.000000,2025-06-06T05:04:53.000000,2025-06-07T12:32:54.000000,0,Thursday,1,6.898888888888889,31.466944444444444,38.365833333333335,1
CR-16146,Unauthorized attempt to disable endpoint protection,Failure,Captain America,Thor,Avengers,Service A,Closed,High,Medium,Medium,High,2025-06-05T14:36:44.000000,2025-06-05T17:41:45.000000,2025-06-07T07:36:17.000000,0,Thursday,1,3.0836111111111113,37.90888888888889,40.9925,1
CR-16147,Unapproved connection to third-party cloud service,Complaint,Martin,Captain America,Matrix,Service C,On Hold,Medium,High,Medium,Medium,2025-06-05T19:40:29.000000,,,1,Thursday,0,0.0,0.0,0.0,0
CR-16148,Privilege escalation attempt on production server,Network,Thor,Martin,Avengers,Service A,Closed,Low,Medium,Low,High,2025-06-05T10:48:32.000000,2025-06-05T13:13:37.000000,2025-06-06T13:34:55.000000,1,Thursday,0,2.4180555555555556,24.355,26.773055555555555,1
CR-16149,Anomalous login pattern for service account,Software,Jan,Jan,Avengers II,Service C,Closed,Low,Medium,Medium,High,2025-06-05T14:45:13.000000,2025-06-05T22:33:17.000000,2025-06-06T20:20:53.000000,0,Thursday,1,7.801111111111111,21.793333333333333,29.594444444444445,0
CR-16150,External IP added to whitelist without approval,Access,Thor,Iron Man,Avengers,Service A,Closed,High,Medium,Low,High,2025-06-05T19:41:50.000000,2025-06-06T01:49:09.000000,2025-06-07T19:57:52.000000,0,Thursday,1,6.121944444444445,42.14527777777778,48.26722222222222,1
CR-16151,Multiple failed login attempts detected on user account,Software,Michal,Peter,Avengers,Service A,Closed,Low,Low,High,Medium,2025-06-05T21:16:39.000000,2025-06-05T23:10:27.000000,2025-06-07T18:56:53.000000,1,Thursday,0,1.8966666666666667,43.77388888888889,45.67055555555555,0
CR-16152,Web proxy blocked access to high-risk website,Hardware,Peter,Captain America,Matrix,Service A,In Progress,Low,Low,High,High,2025-06-05T09:56:34.000000,2025-06-05T13:36:05.000000,,0,Thursday,1,3.658611111111111,0.0,0.0,0
CR-16153,Denied attempt to access privileged management console,Hardware,Martin,Martin,Avengers,Service A,Closed,Low,High,High,High,2025-06-05T05:24:54.000000,2025-06-05T09:55:50.000000,2025-06-06T06:47:33.000000,1,Thursday,0,4.515555555555555,20.861944444444443,25.3775,1
CR-16154,Email forwarding rule created without user knowledge,Facilities,Peter,Captain America,Avengers II,Service A,Closed,Medium,High,High,Low,2025-06-05T04:48:23.000000,2025-06-05T08:59:54.000000,2025-06-07T04:35:07.000000,1,Thursday,0,4.191944444444444,43.58694444444444,47.778888888888886,1
CR-16155,Suspicious authentication attempts to database server,Complaint,Thor,Thor,Avengers II,Service B,Closed,Medium,Low,Low,Medium,2025-06-05T05:42:41.000000,2025-06-05T08:46:06.000000,2025-06-05T19:56:39.000000,0,Thursday,1,3.0569444444444445,11.175833333333333,14.232777777777779,0
CR-16156,Multiple password reset requests from same user,Facilities,Peter,Peter,Avengers,Service B,Closed,Medium,Low,High,High,2025-06-05T21:23:40.000000,2025-06-05T22:40:31.000000,2025-06-07T10:05:14.000000,1,Thursday,0,1.2808333333333333,35.411944444444444,36.69277777777778,0
CR-16157,Web proxy blocked access to high-risk website,Access,Thor,Captain America,Matrix,Service A,Closed,High,High,Medium,High,2025-06-05T05:08:06.000000,2025-06-05T12:39:56.000000,2025-06-06T03:13:14.000000,0,Thursday,1,7.530555555555556,14.555,22.085555555555555,1
CR-16158,New local administrator account detected on endpoint,Software,Captain America,Iron Man,Avengers II,Service C,Closed,Low,High,High,High,2025-06-05T09:17:42.000000,2025-06-05T11:21:31.000000,2025-06-06T20:08:53.000000,1,Thursday,0,2.0636111111111113,32.78944444444444,34.85305555555556,1
CR-16159,Unapproved remote access session initiated,Complaint,Martin,Jan,Avengers,Service A,In Progress,Medium,Low,Medium,High,2025-06-05T21:55:32.000000,2025-06-06T00:02:16.000000,,1,Thursday,0,2.112222222222222,0.0,0.0,0
CR-16160,Unapproved connection to third-party cloud service,Hardware,Michal,Martin,Avengers,Service A,Closed,Low,High,Medium,Medium,2025-06-05T01:02:12.000000,2025-06-05T02:35:14.000000,2025-06-06T13:48:24.000000,1,Thursday,0,1.5505555555555555,35.21944444444444,36.77,1
CR-16161,Abnormal API access pattern from external client,Facilities,Captain America,Martin,Avengers II,Service C,Closed,High,Medium,Low,Low,2025-06-05T15:45:46.000000,2025-06-05T22:12:51.000000,2025-06-07T07:20:47.000000,0,Thursday,1,6.451388888888889,33.132222222222225,39.58361111111111,1
CR-16162,Ransomware behavior detected and contained on endpoint,Network,Iron Man,Jan,Avengers,Service B,Closed,Low,High,Medium,Medium,2025-06-05T20:03:26.000000,2025-06-06T01:13:58.000000,2025-06-07T07:26:11.000000,0,Thursday,1,5.1755555555555555,30.203611111111112,35.37916666666667,1
CR-16163,Unencrypted data transfer detected over public network,Access,Iron Man,Jan,Avengers,Service A,Closed,High,Low,Medium,High,2025-06-05T21:41:46.000000,2025-06-06T04:30:03.000000,2025-06-07T21:05:08.000000,1,Thursday,0,6.804722222222222,40.584722222222226,47.38944444444444,0
CR-16164,New device connected to corporate Wi-Fi without registration,Failure,Martin,Jan,Avengers II,Service C,Closed,High,Low,Medium,High,2025-06-05T03:31:43.000000,2025-06-05T08:07:17.000000,2025-06-07T04:09:22.000000,0,Thursday,1,4.592777777777778,44.03472222222222,48.6275,0
CR-16165,Malicious macro detected in office document,Failure,Martin,Jan,Matrix,Service C,Closed,Low,Medium,Low,Medium,2025-06-05T06:06:21.000000,2025-06-05T12:02:55.000000,2025-06-06T12:39:14.000000,0,Thursday,1,5.942777777777778,24.60527777777778,30.548055555555557,1
CR-16166,Unapproved application communicating with external server,Failure,Captain America,Thor,Avengers,Service C,Closed,Low,Low,Medium,Low,2025-06-05T05:42:56.000000,2025-06-05T10:48:24.000000,2025-06-06T18:05:41.000000,1,Thursday,0,5.091111111111111,31.288055555555555,36.37916666666667,0
CR-16167,Unapproved remote access session initiated,Complaint,Thor,Martin,Avengers,Service A,Closed,Low,Medium,Low,High,2025-06-05T07:59:42.000000,2025-06-05T15:24:50.000000,2025-06-06T04:58:02.000000,1,Thursday,0,7.418888888888889,13.553333333333333,20.97222222222222,0
CR-16168,Multiple password reset requests from same user,Complaint,Thor,Michal,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-06-05T09:07:54.000000,2025-06-05T15:02:37.000000,2025-06-06T02:40:21.000000,1,Thursday,0,5.911944444444444,11.62888888888889,17.54083333333333,0
CR-16169,Unusual VPN connection outside normal working hours,Software,Michal,Martin,Matrix,Service A,Closed,High,Medium,Low,High,2025-06-05T22:50:08.000000,2025-06-06T07:49:46.000000,2025-06-07T09:06:02.000000,1,Thursday,0,8.99388888888889,25.27111111111111,34.265,1
CR-16170,Unusual file encryption activity detected on server,Complaint,Jan,Thor,Avengers II,Service B,Closed,Low,High,Low,High,2025-06-05T08:53:35.000000,2025-06-05T12:45:41.000000,2025-06-06T20:45:02.000000,0,Thursday,1,3.868333333333333,31.989166666666666,35.8575,1
CR-16171,Suspicious file execution blocked by application control,Access,Jan,Thor,Matrix,Service C,Closed,Medium,High,Medium,Low,2025-06-05T08:50:41.000000,2025-06-05T17:37:54.000000,2025-06-06T11:21:00.000000,0,Thursday,1,8.786944444444444,17.718333333333334,26.505277777777778,1
CR-16172,Attempted login using default system credentials,Software,Iron Man,Peter,Avengers,Service C,Closed,Medium,High,Low,Medium,2025-06-05T12:47:58.000000,2025-06-05T20:06:39.000000,2025-06-06T14:48:39.000000,1,Thursday,0,7.311388888888889,18.7,26.011388888888888,1
CR-16173,Multiple logins from different countries within short timeframe,Failure,Martin,Martin,Matrix,Service B,Closed,High,Medium,Medium,Low,2025-06-05T04:41:48.000000,2025-06-05T09:55:17.000000,2025-06-05T14:00:53.000000,1,Thursday,0,5.224722222222222,4.093333333333334,9.318055555555556,0
CR-16174,Ransomware behavior detected and contained on endpoint,Network,Martin,Peter,Avengers II,Service C,Closed,Medium,High,High,High,2025-06-05T19:29:46.000000,2025-06-06T00:19:31.000000,2025-06-06T16:36:26.000000,0,Thursday,1,4.829166666666667,16.281944444444445,21.11111111111111,1
CR-16175,Email forwarding rule created without user knowledge,Network,Thor,Martin,Avengers II,Service A,Closed,Low,High,Medium,Low,2025-06-05T09:33:31.000000,2025-06-05T12:47:58.000000,2025-06-07T08:09:25.000000,1,Thursday,0,3.2408333333333332,43.3575,46.598333333333336,1
CR-16176,Login from decommissioned device detected in logs,Complaint,Iron Man,Martin,Matrix,Service C,Closed,Medium,High,Medium,Low,2025-06-05T17:14:04.000000,2025-06-05T21:33:44.000000,2025-06-07T04:31:55.000000,0,Thursday,1,4.3277777777777775,30.969722222222224,35.2975,1
CR-16177,Multiple password reset requests from same user,Software,Captain America,Martin,Avengers,Service A,Closed,High,Medium,Medium,Medium,2025-06-05T09:18:45.000000,2025-06-05T15:57:06.000000,2025-06-06T06:50:20.000000,0,Thursday,1,6.639166666666667,14.887222222222222,21.52638888888889,0
CR-16178,Blocked attempt to upload sensitive data to cloud storage,Software,Martin,Jan,Matrix,Service B,Closed,High,Low,Medium,High,2025-06-05T22:10:11.000000,2025-06-06T06:45:45.000000,2025-06-06T15:23:18.000000,1,Thursday,0,8.592777777777778,8.625833333333333,17.218611111111112,0
CR-16179,Privilege escalation attempt on production server,Network,Peter,Iron Man,Matrix,Service C,On Hold,High,High,Medium,Low,2025-06-05T04:23:44.000000,,,0,Thursday,1,0.0,0.0,0.0,0
CR-16180,Blocked attempt to upload sensitive data to cloud storage,Network,Peter,Iron Man,Matrix,Service A,Closed,Medium,High,Medium,Medium,2025-06-05T07:06:27.000000,2025-06-05T14:55:51.000000,2025-06-06T18:12:01.000000,0,Thursday,1,7.823333333333333,27.269444444444446,35.092777777777776,1
CR-16181,Login from decommissioned device detected in logs,Data,Peter,Captain America,Avengers II,Service C,Closed,Medium,Low,High,Medium,2025-06-05T10:48:20.000000,2025-06-05T14:15:58.000000,2025-06-05T21:07:48.000000,0,Thursday,1,3.4605555555555556,6.863888888888889,10.324444444444444,0
CR-16182,Firewall detected and blocked port scanning activity,Software,Thor,Michal,Avengers,Service A,New,High,Medium,Medium,High,2025-06-05T03:16:52.000000,,,1,Thursday,0,0.0,0.0,0.0,0
CR-16183,Unauthorized attempt to disable endpoint protection,Software,Captain America,Captain America,Matrix,Service B,Closed,Medium,High,Low,High,2025-06-05T05:12:38.000000,2025-06-05T09:44:13.000000,2025-06-06T21:18:27.000000,1,Thursday,0,4.526388888888889,35.57055555555556,40.096944444444446,1
CR-16184,Malicious macro detected in office document,Network,Martin,Jan,Avengers,Service A,Closed,High,Medium,Low,Medium,2025-06-05T20:50:48.000000,2025-06-05T23:24:41.000000,2025-06-06T21:33:32.000000,1,Thursday,0,2.564722222222222,22.1475,24.712222222222223,0
CR-16185,Abnormal outbound DNS requests from single host,Failure,Iron Man,Jan,Matrix,Service A,Closed,Medium,Low,Medium,High,2025-06-05T23:53:11.000000,2025-06-06T01:18:02.000000,2025-06-06T11:37:33.000000,0,Thursday,1,1.4141666666666666,10.325277777777778,11.739444444444445,0
CR-16186,Privilege escalation attempt on production server,Access,Thor,Iron Man,Avengers,Service C,On Hold,Medium,Medium,High,Low,2025-06-05T04:27:25.000000,,,1,Thursday,0,0.0,0.0,0.0,0
CR-16187,Compromised account password reset and user notified,Complaint,Thor,Michal,Avengers II,Service A,Closed,Low,Low,Medium,High,2025-06-05T19:51:23.000000,2025-06-06T01:44:28.000000,2025-06-07T21:13:01.000000,0,Thursday,1,5.884722222222222,43.475833333333334,49.36055555555556,0
CR-16188,Phishing email reported by employee,Access,Jan,Captain America,Matrix,Service A,Closed,Medium,High,Medium,Medium,2025-06-05T12:05:02.000000,2025-06-05T18:40:13.000000,2025-06-06T19:52:42.000000,0,Thursday,1,6.586388888888889,25.208055555555557,31.794444444444444,1
CR-16189,Privilege escalation attempt on production server,Facilities,Michal,Martin,Avengers II,Service A,Closed,High,Medium,High,High,2025-06-05T15:41:26.000000,2025-06-05T20:27:11.000000,2025-06-06T10:11:32.000000,0,Thursday,1,4.7625,13.739166666666666,18.501666666666665,0
CR-16190,Unsupported legacy protocol usage detected in network traffic,Access,Iron Man,Peter,Avengers,Service A,Closed,Medium,Medium,Medium,Low,2025-06-05T17:42:11.000000,2025-06-05T20:34:26.000000,2025-06-06T06:09:05.000000,1,Thursday,0,2.870833333333333,9.5775,12.448333333333334,0
CR-16191,Multiple devices reporting same malware signature,Complaint,Michal,Michal,Avengers II,Service C,Closed,High,Low,Medium,Low,2025-06-05T06:03:46.000000,2025-06-05T07:33:36.000000,2025-06-05T09:49:13.000000,1,Thursday,0,1.4972222222222222,2.2602777777777776,3.7575,0
CR-16192,Access request to restricted application reviewed,Facilities,Captain America,Jan,Avengers II,Service C,Closed,High,High,Low,High,2025-06-05T23:30:32.000000,2025-06-06T06:10:06.000000,2025-06-06T08:42:03.000000,0,Thursday,1,6.6594444444444445,2.5325,9.191944444444445,0
CR-16193,Data loss prevention policy violation detected,Software,Michal,Peter,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-06-05T21:01:25.000000,2025-06-06T05:33:22.000000,2025-06-06T14:47:14.000000,1,Thursday,0,8.5325,9.231111111111112,17.76361111111111,0
CR-16194,Unencrypted data transfer detected over public network,Facilities,Michal,Peter,Matrix,Service C,Closed,Medium,High,Medium,Medium,2025-06-05T13:14:03.000000,2025-06-05T17:37:18.000000,2025-06-07T01:39:55.000000,1,Thursday,0,4.3875,32.04361111111111,36.431111111111115,1
CR-16195,Unauthorized attempt to access security logs,Complaint,Jan,Peter,Avengers,Service C,Closed,Low,High,Low,High,2025-06-05T12:32:02.000000,2025-06-05T17:13:40.000000,2025-06-06T23:45:57.000000,0,Thursday,1,4.693888888888889,30.538055555555555,35.231944444444444,1
CR-16196,Endpoint antivirus detected and quarantined malware,Network,Thor,Jan,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-06-05T09:59:32.000000,2025-06-05T18:58:38.000000,2025-06-06T22:30:03.000000,1,Thursday,0,8.985,27.523611111111112,36.50861111111111,1
CR-16197,Suspicious authentication token reuse detected,Network,Captain America,Iron Man,Avengers,Service B,Closed,Low,High,High,High,2025-06-05T14:23:59.000000,2025-06-05T22:06:30.000000,2025-06-07T04:42:21.000000,1,Thursday,0,7.708611111111111,30.5975,38.306111111111115,1
CR-16198,Unauthorized access to shared network drive,Access,Captain America,Michal,Avengers II,Service A,Closed,High,Low,Low,Medium,2025-06-05T05:25:29.000000,2025-06-05T09:39:36.000000,2025-06-06T17:09:01.000000,0,Thursday,1,4.235277777777778,31.490277777777777,35.72555555555556,0
CR-16199,Ransomware behavior detected and contained on endpoint,Failure,Peter,Martin,Avengers,Service A,On Hold,Medium,High,High,Medium,2025-06-05T03:30:12.000000,,,0,Thursday,1,0.0,0.0,0.0,0
CR-16200,Denied attempt to access privileged management console,Hardware,Captain America,Captain America,Avengers,Service A,Closed,High,Low,Medium,High,2025-06-05T07:21:31.000000,2025-06-05T13:53:18.000000,2025-06-06T14:28:26.000000,0,Thursday,1,6.529722222222222,24.585555555555555,31.115277777777777,0
CR-16201,Suspicious outbound traffic to known malicious domain,Facilities,Thor,Peter,Avengers II,Service B,Closed,High,High,Low,Low,2025-06-05T05:17:39.000000,2025-06-05T09:21:32.000000,2025-06-06T01:10:57.000000,0,Thursday,1,4.064722222222223,15.823611111111111,19.888333333333332,1
CR-16202,Unusual data download volume from file server,Failure,Captain America,Captain America,Avengers II,Service C,Closed,High,Medium,Low,High,2025-06-05T23:05:34.000000,2025-06-06T03:43:10.000000,2025-06-07T20:11:20.000000,1,Thursday,0,4.626666666666667,40.46944444444444,45.096111111111114,1
CR-16203,Email forwarding rule created without user knowledge,Network,Jan,Iron Man,Avengers II,Service B,New,Low,High,High,Medium,2025-06-05T08:04:12.000000,,,1,Thursday,0,0.0,0.0,0.0,0
CR-16204,Email forwarding rule created without user knowledge,Failure,Peter,Michal,Avengers II,Service C,Closed,Medium,High,Medium,High,2025-06-05T19:22:39.000000,2025-06-05T23:57:02.000000,2025-06-07T12:01:30.000000,0,Thursday,1,4.573055555555555,36.074444444444445,40.6475,1
CR-16205,Suspicious authentication token reuse detected,Complaint,Martin,Jan,Matrix,Service B,Closed,High,Low,High,High,2025-06-05T15:18:38.000000,2025-06-05T21:15:58.000000,2025-06-06T05:23:09.000000,1,Thursday,0,5.955555555555556,8.119722222222222,14.075277777777778,0
CR-16206,Privilege escalation attempt on production server,Failure,Martin,Michal,Avengers,Service B,Closed,Low,High,Low,High,2025-06-05T06:48:48.000000,2025-06-05T08:18:48.000000,2025-06-06T01:10:25.000000,1,Thursday,0,1.5,16.860277777777778,18.360277777777778,1
CR-16207,Unauthorized attempt to access HR system,Failure,Iron Man,Martin,Matrix,Service A,Closed,Medium,High,High,Low,2025-06-05T02:00:14.000000,2025-06-05T07:12:08.000000,2025-06-06T17:38:39.000000,0,Thursday,1,5.198333333333333,34.441944444444445,39.640277777777776,1
CR-16208,Suspicious login attempt using expired credentials,Hardware,Captain America,Peter,Avengers,Service A,Closed,Medium,High,Medium,Low,2025-06-05T09:49:30.000000,2025-06-05T18:38:30.000000,2025-06-07T12:52:12.000000,0,Thursday,1,8.816666666666666,42.22833333333333,51.045,1
CR-16209,Abnormal outbound DNS requests from single host,Data,Michal,Peter,Matrix,Service B,In Progress,High,Low,Low,Medium,2025-06-05T11:11:56.000000,2025-06-05T16:20:32.000000,,1,Thursday,0,5.1433333333333335,0.0,0.0,0
CR-16210,Inactive account used for login attempt,Data,Captain America,Michal,Avengers,Service C,In Progress,High,Medium,Low,High,2025-06-05T10:20:29.000000,2025-06-05T16:08:30.000000,,0,Thursday,1,5.800277777777778,0.0,0.0,0
CR-16211,Data loss prevention policy violation detected,Complaint,Martin,Peter,Avengers II,Service B,Closed,High,High,Low,High,2025-06-05T04:01:20.000000,2025-06-05T06:04:07.000000,2025-06-06T23:31:36.000000,1,Thursday,0,2.046388888888889,41.45805555555555,43.504444444444445,1
CR-16212,Ransomware behavior detected and contained on endpoint,Failure,Captain America,Martin,Avengers,Service B,Closed,Medium,High,Medium,Medium,2025-06-05T12:47:01.000000,2025-06-05T15:16:46.000000,2025-06-06T10:09:10.000000,0,Thursday,1,2.495833333333333,18.873333333333335,21.36916666666667,1
CR-16213,Suspicious file execution blocked by application control,Hardware,Thor,Thor,Avengers,Service A,Closed,High,Low,Low,Low,2025-06-05T20:04:08.000000,2025-06-05T22:13:57.000000,2025-06-06T15:54:14.000000,0,Thursday,1,2.163611111111111,17.671388888888888,19.835,0
CR-16214,Compromised account password reset and user notified,Failure,Iron Man,Peter,Avengers,Service C,Closed,High,Low,High,High,2025-06-05T17:18:03.000000,2025-06-05T23:43:59.000000,2025-06-07T09:51:12.000000,0,Thursday,1,6.432222222222222,34.12027777777778,40.5525,0
CR-16215,Unencrypted data transfer detected over public network,Software,Peter,Thor,Avengers II,Service A,Closed,High,High,Low,High,2025-06-05T00:57:10.000000,2025-06-05T09:48:57.000000,2025-06-06T13:07:02.000000,1,Thursday,0,8.863055555555556,27.301388888888887,36.16444444444444,1
CR-16216,Privilege escalation attempt on production server,Software,Peter,Michal,Avengers II,Service B,Closed,Medium,Low,Medium,Low,2025-06-05T11:51:20.000000,2025-06-05T18:16:46.000000,2025-06-07T07:48:22.000000,1,Thursday,0,6.4238888888888885,37.526666666666664,43.95055555555555,0
CR-16217,Brute force attack detected on remote access gateway,Facilities,Captain America,Jan,Avengers II,Service C,Closed,Medium,High,Medium,High,2025-06-05T05:36:26.000000,2025-06-05T07:05:21.000000,2025-06-06T02:27:37.000000,1,Thursday,0,1.4819444444444445,19.371111111111112,20.853055555555557,1
CR-16218,Web proxy blocked access to high-risk website,Network,Captain America,Martin,Avengers II,Service C,Closed,Low,Low,High,Low,2025-06-05T06:46:48.000000,2025-06-05T14:03:35.000000,2025-06-06T20:58:40.000000,1,Thursday,0,7.279722222222222,30.918055555555554,38.19777777777778,0
CR-16219,New network share created without change request,Software,Peter,Jan,Matrix,Service A,Closed,Medium,High,High,High,2025-06-05T14:42:18.000000,2025-06-05T20:58:56.000000,2025-06-06T10:13:53.000000,1,Thursday,0,6.277222222222222,13.249166666666667,19.52638888888889,1
CR-16220,Malicious attachment blocked by email gateway,Access,Jan,Michal,Avengers,Service A,New,Medium,Medium,Medium,Low,2025-06-05T09:57:55.000000,,,0,Thursday,1,0.0,0.0,0.0,0
CR-16221,Unapproved external USB storage device connected,Network,Thor,Martin,Avengers II,Service C,Closed,Medium,Low,High,Low,2025-06-05T17:25:35.000000,2025-06-05T22:43:13.000000,2025-06-07T12:07:34.000000,0,Thursday,1,5.293888888888889,37.405833333333334,42.69972222222222,0
CR-16222,New privileged account created without proper approval,Network,Martin,Martin,Avengers,Service A,Closed,High,Low,Low,High,2025-06-05T18:07:25.000000,2025-06-05T19:34:21.000000,2025-06-07T00:15:27.000000,1,Thursday,0,1.448888888888889,28.685,30.13388888888889,0
CR-16223,Unauthorized attempt to access HR system,Access,Thor,Michal,Avengers,Service B,Closed,High,Medium,Low,Medium,2025-06-05T03:34:35.000000,2025-06-05T07:03:00.000000,2025-06-06T02:06:30.000000,1,Thursday,0,3.473611111111111,19.058333333333334,22.531944444444445,0
CR-16224,Privilege escalation attempt on production server,Access,Iron Man,Jan,Avengers,Service C,On Hold,Low,Low,High,High,2025-06-05T06:10:37.000000,,,0,Thursday,1,0.0,0.0,0.0,0
CR-16225,Malicious attachment blocked by email gateway,Facilities,Captain America,Peter,Avengers II,Service B,Closed,Medium,Low,Low,Medium,2025-06-05T04:38:07.000000,2025-06-05T07:37:30.000000,2025-06-06T03:13:59.000000,0,Thursday,1,2.9897222222222224,19.608055555555556,22.59777777777778,0
CR-16226,Unusual file encryption activity detected on server,Data,Thor,Thor,Avengers II,Service C,Closed,Low,Low,Low,Low,2025-06-05T18:32:22.000000,2025-06-05T21:26:24.000000,2025-06-07T17:23:15.000000,1,Thursday,0,2.9005555555555556,43.9475,46.848055555555554,0
CR-16227,Unusual traffic to anonymization service detected,Hardware,Iron Man,Iron Man,Matrix,Service C,Closed,Medium,Low,Low,Medium,2025-06-05T12:09:17.000000,2025-06-05T17:34:12.000000,2025-06-06T16:38:45.000000,0,Thursday,1,5.415277777777778,23.075833333333332,28.49111111111111,0
CR-16228,Certificate validation failure on secure connection,Failure,Thor,Peter,Avengers,Service C,Closed,Low,High,High,Low,2025-06-05T20:38:27.000000,2025-06-06T03:14:41.000000,2025-06-08T00:06:04.000000,1,Thursday,0,6.603888888888889,44.85638888888889,51.460277777777776,1
CR-16229,Inactive account used for login attempt,Data,Martin,Jan,Matrix,Service C,Closed,High,Medium,High,Medium,2025-06-05T10:02:29.000000,2025-06-05T17:24:56.000000,2025-06-06T07:32:15.000000,0,Thursday,1,7.3741666666666665,14.121944444444445,21.496111111111112,0
CR-16230,Unusual file encryption activity detected on server,Network,Jan,Martin,Matrix,Service A,In Progress,Medium,High,Medium,Medium,2025-06-05T06:00:50.000000,2025-06-05T12:39:37.000000,,1,Thursday,0,6.646388888888889,0.0,0.0,0
CR-16231,Abnormal API access pattern from external client,Access,Jan,Michal,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-06-05T04:29:44.000000,2025-06-05T11:07:03.000000,2025-06-05T17:18:07.000000,0,Thursday,1,6.621944444444445,6.184444444444445,12.80638888888889,0
