Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-22811,Ransomware attack detected: Encrypted files observed on endpoint.,Hardware,Iron Man,Captain America,Avengers,Service C,Closed,Low,Low,Medium,Low,2025-08-07T08:28:35.000000,2025-08-07T16:49:06.000000,2025-08-07T22:36:26.000000,1,Thursday,0,8.341944444444444,5.788888888888889,14.130833333333333,0,2025-32
CR-22812,Expired certificates detected: TLS handshake improper.,Complaint,Martin,Captain America,Avengers,Service B,Closed,High,Low,Medium,High,2025-08-07T13:51:28.000000,2025-08-07T21:22:55.000000,2025-08-09T14:11:22.000000,1,Thursday,0,7.524166666666667,40.8075,48.33166666666666,0,2025-32
CR-22813,Firewall breach: Unauthorized access through open port.,Hardware,Martin,Jan,Avengers,Service A,New,High,Low,Medium,High,2025-08-07T21:53:28.000000,,,1,Thursday,0,,,,0,2025-32
CR-22814,Dark web monitoring alert: Credentials detected for sale online.,Complaint,Martin,Michal,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-08-07T17:57:26.000000,2025-08-07T21:47:52.000000,2025-08-08T11:20:26.000000,0,Thursday,1,3.8405555555555555,13.542777777777777,17.383333333333333,0,2025-32
CR-22815,User permission escalation detected on cloud platform.,Software,Iron Man,Martin,Matrix,Service C,Closed,High,High,High,Low,2025-08-07T02:30:37.000000,2025-08-07T08:38:32.000000,2025-08-08T17:17:31.000000,0,Thursday,1,6.131944444444445,32.64972222222222,38.781666666666666,1,2025-32
CR-22816,Login attempt from blacklisted IP address blocked.,Hardware,Jan,Michal,Matrix,Service C,Closed,Low,Low,Low,Medium,2025-08-07T00:39:50.000000,2025-08-07T06:38:10.000000,2025-08-08T15:51:30.000000,0,Thursday,1,5.972222222222222,33.22222222222222,39.19444444444444,0,2025-32
CR-22817,Malware alert: Suspicious executable flagged during scan.,Complaint,Thor,Martin,Matrix,Service C,Closed,Low,High,Low,Medium,2025-08-07T05:17:30.000000,2025-08-07T13:46:15.000000,2025-08-09T03:31:51.000000,1,Thursday,0,8.479166666666666,37.76,46.23916666666667,1,2025-32
CR-22818,Ransomware attack detected: Encrypted files observed on endpoint.,Data,Captain America,Iron Man,Avengers II,Service A,Closed,High,Low,Medium,Low,2025-08-07T01:00:49.000000,2025-08-07T08:28:40.000000,2025-08-07T18:08:41.000000,1,Thursday,0,7.464166666666666,9.666944444444445,17.13111111111111,0,2025-32
CR-22819,DNS attack detected: Unusual query patterns observed.,Hardware,Martin,Jan,Avengers,Service C,Closed,Medium,Low,Medium,Medium,2025-08-07T03:39:18.000000,2025-08-07T12:17:20.000000,2025-08-08T17:03:08.000000,0,Thursday,1,8.633888888888889,28.763333333333332,37.397222222222226,0,2025-32
CR-22820,Unusual system reboot detected on DevOps environment.,Network,Michal,Iron Man,Matrix,Service A,Closed,Medium,Low,High,Medium,2025-08-07T23:54:33.000000,2025-08-08T02:24:59.000000,2025-08-09T15:17:16.000000,0,Thursday,1,2.507222222222222,36.87138888888889,39.37861111111111,0,2025-32
CR-22821,Antivirus disabled on workstation: Protection compromised.,Failure,Captain America,Iron Man,Avengers II,Service A,New,High,Medium,High,Medium,2025-08-07T10:26:38.000000,,,0,Thursday,1,,,,0,2025-32
CR-22822,Firewall breach: Unauthorized access through open port.,Hardware,Michal,Thor,Avengers II,Service B,Closed,Low,Low,Low,Low,2025-08-07T03:53:17.000000,2025-08-07T06:59:37.000000,2025-08-08T14:22:28.000000,1,Thursday,0,3.1055555555555556,31.38083333333333,34.48638888888889,0,2025-32
CR-22823,User login failed: Account locked due to excessive login attempts.,Hardware,Thor,Captain America,Avengers,Service A,Closed,High,High,Low,Low,2025-08-07T03:33:19.000000,2025-08-07T10:22:32.000000,2025-08-08T01:18:46.000000,0,Thursday,1,6.820277777777778,14.937222222222223,21.7575,1,2025-32
CR-22824,USB device blocked: Removable media protection active.,Access,Peter,Peter,Avengers,Service C,Closed,Low,Medium,Low,High,2025-08-07T14:24:12.000000,2025-08-07T18:31:55.000000,2025-08-08T20:18:51.000000,1,Thursday,0,4.128611111111111,25.782222222222224,29.910833333333333,1,2025-32
CR-22825,Critical alert: Database server overload detected.,Failure,Michal,Martin,Avengers,Service B,Closed,Medium,Low,Low,High,2025-08-07T02:56:02.000000,2025-08-07T07:51:01.000000,2025-08-08T08:22:28.000000,0,Thursday,1,4.916388888888889,24.524166666666666,29.440555555555555,0,2025-32
CR-22826,USB device blocked: Removable media protection active.,Data,Martin,Martin,Avengers II,Service A,In Progress,Low,Low,Medium,High,2025-08-07T19:36:08.000000,2025-08-08T00:03:19.000000,,0,Thursday,1,4.453055555555555,,,0,2025-32
CR-22827,Failed Workflow - ID: 0000,Data,Martin,Captain America,Avengers,Service B,Closed,Medium,Low,High,Medium,2025-08-07T03:48:53.000000,2025-08-07T08:43:35.000000,2025-08-07T21:50:11.000000,0,Thursday,1,4.911666666666667,13.11,18.02166666666667,0,2025-32
CR-22828,Unscheduled file deletion detected on shared drive.,Hardware,Michal,Jan,Matrix,Service C,Closed,Medium,High,Low,High,2025-08-07T19:52:33.000000,2025-08-08T04:35:07.000000,2025-08-09T17:33:54.000000,0,Thursday,1,8.709444444444445,36.97972222222222,45.689166666666665,1,2025-32
CR-22829,Unscheduled software change: Application version rolled back.,Hardware,Thor,Michal,Matrix,Service A,Closed,Medium,Medium,Low,High,2025-08-07T03:00:28.000000,2025-08-07T11:15:20.000000,2025-08-09T01:52:06.000000,0,Thursday,1,8.247777777777777,38.61277777777778,46.86055555555556,1,2025-32
CR-22830,Security patch missing: Update not applied on critical server.,Complaint,Captain America,Thor,Avengers,Service B,Closed,Low,Medium,High,Medium,2025-08-07T20:32:47.000000,2025-08-08T00:11:03.000000,2025-08-09T07:24:40.000000,0,Thursday,1,3.6377777777777776,31.226944444444445,34.86472222222222,1,2025-32
CR-22831,Data download from personal device flagged for review.,Access,Iron Man,Jan,Matrix,Service A,Closed,High,Low,Medium,Medium,2025-08-07T20:37:57.000000,2025-08-08T02:15:30.000000,2025-08-09T06:20:54.000000,1,Thursday,0,5.6258333333333335,28.09,33.715833333333336,0,2025-32
CR-22832,Service outage detected - No connection to database.,Network,Thor,Thor,Matrix,Service B,Closed,High,Low,Medium,High,2025-08-07T14:21:05.000000,2025-08-07T19:47:55.000000,2025-08-09T13:58:37.000000,1,Thursday,0,5.447222222222222,42.178333333333335,47.62555555555556,0,2025-32
CR-22833,Authentication error: Multi-factor authentication failed.,Data,Jan,Peter,Matrix,Service A,On Hold,High,Low,Low,Low,2025-08-07T21:11:17.000000,,,1,Thursday,0,,,,0,2025-32
CR-22834,DDoS attack mitigation active: Rate-limiting initiated.,Software,Martin,Michal,Avengers II,Service C,Closed,Medium,High,Medium,Low,2025-08-07T03:31:16.000000,2025-08-07T07:54:27.000000,2025-08-08T20:22:04.000000,1,Thursday,0,4.386388888888889,36.460277777777776,40.846666666666664,1,2025-32
CR-22835,Critical system alert: Root access attempted on production server.,Access,Jan,Thor,Avengers II,Service B,On Hold,Low,Medium,Medium,Low,2025-08-07T08:52:10.000000,,,0,Thursday,1,,,,0,2025-32
CR-22836,Keylogger activity detected on user's workstation.,Hardware,Iron Man,Peter,Matrix,Service C,Closed,High,High,Medium,Low,2025-08-07T06:12:44.000000,2025-08-07T09:33:42.000000,2025-08-09T03:07:37.000000,0,Thursday,1,3.3494444444444444,41.56527777777778,44.914722222222224,1,2025-32
CR-22837,Failed packet inspection: Firewall rules misconfigured.,Failure,Thor,Captain America,Matrix,Service C,Closed,Low,Medium,Low,High,2025-08-07T04:01:55.000000,2025-08-07T08:38:13.000000,2025-08-08T03:55:06.000000,1,Thursday,0,4.605,19.281388888888888,23.886388888888888,0,2025-32
CR-22838,Unauthorized device connected: MAC address not whitelisted.,Access,Thor,Martin,Avengers,Service C,Closed,Medium,High,Medium,High,2025-08-07T14:03:45.000000,2025-08-07T22:13:53.000000,2025-08-08T04:52:25.000000,1,Thursday,0,8.168888888888889,6.642222222222222,14.811111111111112,0,2025-32
CR-22839,Cloud misconfiguration alert: Public exposure of sensitive data.,Hardware,Peter,Peter,Matrix,Service A,Closed,High,High,High,Medium,2025-08-07T12:41:59.000000,2025-08-07T17:45:26.000000,2025-08-08T03:38:01.000000,1,Thursday,0,5.0575,9.876388888888888,14.93388888888889,1,2025-32
CR-22840,Dark web monitoring alert: Credentials detected for sale online.,Software,Thor,Iron Man,Avengers II,Service C,Closed,Medium,Medium,Low,Low,2025-08-07T05:35:28.000000,2025-08-07T09:17:42.000000,2025-08-08T21:15:18.000000,1,Thursday,0,3.703888888888889,35.96,39.66388888888889,1,2025-32
CR-22841,Expired password reset request: User notified.,Software,Iron Man,Captain America,Avengers II,Service A,New,Low,High,Medium,High,2025-08-07T19:30:53.000000,,,0,Thursday,1,,,,0,2025-32
CR-22842,Network issue: Unable to connect to external API.,Network,Thor,Jan,Avengers,Service B,Closed,High,High,High,High,2025-08-07T02:32:57.000000,2025-08-07T09:58:23.000000,2025-08-08T15:15:36.000000,0,Thursday,1,7.4238888888888885,29.286944444444444,36.71083333333333,1,2025-32
CR-22843,Failed cloud synchronization: Files cannot be uploaded.,Network,Jan,Thor,Avengers,Service A,Closed,Medium,Low,Low,Medium,2025-08-07T20:04:59.000000,2025-08-08T02:37:32.000000,2025-08-09T04:25:10.000000,0,Thursday,1,6.5425,25.79388888888889,32.33638888888889,0,2025-32
CR-22844,SOC analyst triggered investigation for suspicious server activity.,Access,Iron Man,Jan,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-08-07T00:02:17.000000,2025-08-07T04:44:55.000000,2025-08-07T14:11:36.000000,1,Thursday,0,4.710555555555556,9.444722222222222,14.155277777777778,0,2025-32
CR-22845,Failed cloud synchronization: Files cannot be uploaded.,Data,Michal,Iron Man,Matrix,Service C,Closed,Low,Low,Medium,Medium,2025-08-07T00:29:42.000000,2025-08-07T02:53:06.000000,2025-08-08T22:03:01.000000,1,Thursday,0,2.39,43.165277777777774,45.555277777777775,0,2025-32
CR-22846,Unpatched vulnerability flagged: CVE report mismatch detected.,Software,Peter,Iron Man,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-08-07T13:54:14.000000,2025-08-07T18:36:52.000000,2025-08-09T11:53:44.000000,0,Thursday,1,4.710555555555556,41.28111111111111,45.99166666666667,1,2025-32
CR-22847,ARP spoofing detected: Network traffic rerouted.,Hardware,Captain America,Peter,Matrix,Service A,Closed,Medium,Low,Medium,Low,2025-08-07T09:11:45.000000,2025-08-07T11:58:54.000000,2025-08-08T16:38:00.000000,1,Thursday,0,2.785833333333333,28.651666666666667,31.4375,0,2025-32
CR-22848,Unauthorized device connected: MAC address not whitelisted.,Data,Captain America,Captain America,Matrix,Service A,Closed,Medium,Medium,High,Medium,2025-08-07T13:38:50.000000,2025-08-07T15:54:33.000000,2025-08-08T17:56:42.000000,1,Thursday,0,2.2619444444444445,26.035833333333333,28.297777777777778,1,2025-32
CR-22849,Data exfiltration alert: Large outbound transfer from server.,Software,Thor,Thor,Matrix,Service A,New,High,Medium,Medium,High,2025-08-07T23:35:16.000000,,,0,Thursday,1,,,,0,2025-32
CR-22850,Server reboot required: Kernel update incomplete.,Hardware,Peter,Martin,Matrix,Service B,Closed,High,High,High,High,2025-08-07T00:49:36.000000,2025-08-07T07:53:57.000000,2025-08-09T00:09:27.000000,0,Thursday,1,7.0725,40.25833333333333,47.33083333333333,1,2025-32
CR-22851,Security patch applied: Monitoring for any issues.,Network,Peter,Peter,Avengers II,Service A,Closed,High,Low,Medium,High,2025-08-07T18:51:20.000000,2025-08-08T02:08:52.000000,2025-08-08T08:43:09.000000,0,Thursday,1,7.292222222222223,6.5713888888888885,13.86361111111111,0,2025-32
CR-22852,Network issue: Unable to connect to external API.,Access,Captain America,Martin,Matrix,Service B,Closed,Low,Low,High,Low,2025-08-07T15:22:50.000000,2025-08-07T19:18:35.000000,2025-08-09T08:30:31.000000,0,Thursday,1,3.9291666666666667,37.19888888888889,41.128055555555555,0,2025-32
CR-22853,Unauthorized user session hijacked on browser.,Network,Peter,Peter,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-08-07T13:47:11.000000,2025-08-07T17:06:01.000000,2025-08-09T11:55:45.000000,1,Thursday,0,3.313888888888889,42.82888888888889,46.14277777777778,1,2025-32
CR-22854,Network congestion: High bandwidth usage flagged.,Software,Martin,Peter,Avengers II,Service C,In Progress,Low,Medium,High,Medium,2025-08-07T22:18:04.000000,2025-08-08T02:22:41.000000,,0,Thursday,1,4.076944444444444,,,0,2025-32
CR-22855,User permission escalation detected on cloud platform.,Failure,Iron Man,Martin,Avengers II,Service C,Closed,Low,High,Low,High,2025-08-07T23:19:11.000000,2025-08-08T05:35:15.000000,2025-08-08T07:41:40.000000,0,Thursday,1,6.267777777777778,2.1069444444444443,8.374722222222223,0,2025-32
CR-22856,Keylogger activity detected on user's workstation.,Hardware,Peter,Thor,Avengers,Service A,Closed,Medium,Medium,Medium,High,2025-08-07T02:01:10.000000,2025-08-07T07:45:39.000000,2025-08-08T04:02:10.000000,0,Thursday,1,5.741388888888889,20.275277777777777,26.016666666666666,0,2025-32
CR-22857,Memory exhaustion detected: Application terminated unexpectedly.,Hardware,Michal,Jan,Avengers,Service A,Closed,High,High,Low,Medium,2025-08-07T09:39:21.000000,2025-08-07T17:00:09.000000,2025-08-08T10:58:01.000000,1,Thursday,0,7.346666666666667,17.964444444444446,25.31111111111111,1,2025-32
CR-22858,Failed packet inspection: Firewall rules misconfigured.,Network,Thor,Martin,Avengers,Service A,Closed,High,High,Medium,High,2025-08-07T07:54:42.000000,2025-08-07T12:28:28.000000,2025-08-08T21:15:27.000000,1,Thursday,0,4.562777777777778,32.783055555555556,37.34583333333333,1,2025-32
CR-22859,DDoS attack detected: High traffic spotted on critical service.,Failure,Jan,Thor,Matrix,Service A,On Hold,High,Medium,Medium,Medium,2025-08-07T15:36:48.000000,,,0,Thursday,1,,,,0,2025-32
CR-22860,Unauthorized device connected: MAC address not whitelisted.,Software,Michal,Peter,Avengers,Service A,In Progress,Low,High,Low,Medium,2025-08-07T19:35:24.000000,2025-08-07T22:25:18.000000,,1,Thursday,0,2.8316666666666666,,,0,2025-32
CR-22861,Data download from personal device flagged for review.,Complaint,Jan,Thor,Avengers,Service B,Closed,High,High,High,Medium,2025-08-07T01:55:04.000000,2025-08-07T05:44:13.000000,2025-08-08T06:30:16.000000,0,Thursday,1,3.819166666666667,24.7675,28.586666666666666,1,2025-32
CR-22862,Critical alert: Database server overload detected.,Complaint,Martin,Jan,Matrix,Service A,Closed,High,Low,Medium,High,2025-08-07T22:18:16.000000,2025-08-08T03:04:49.000000,2025-08-09T07:57:02.000000,0,Thursday,1,4.775833333333333,28.870277777777776,33.64611111111111,0,2025-32
CR-22863,Critical alert: Database server overload detected.,Facilities,Martin,Thor,Avengers II,Service A,Closed,Medium,Low,High,High,2025-08-07T16:41:45.000000,2025-08-07T20:58:32.000000,2025-08-08T07:37:23.000000,1,Thursday,0,4.279722222222222,10.6475,14.927222222222222,0,2025-32
CR-22864,Phishing email flagged: User report received for fake login attempt.,Access,Captain America,Jan,Matrix,Service B,Closed,Low,High,Medium,Medium,2025-08-07T14:59:33.000000,2025-08-07T18:07:34.000000,2025-08-08T13:30:18.000000,1,Thursday,0,3.133611111111111,19.378888888888888,22.5125,1,2025-32
CR-22865,Failed malware removal: Corrupted file system detected.,Data,Martin,Thor,Matrix,Service C,On Hold,Low,Medium,High,Medium,2025-08-07T06:09:18.000000,,,0,Thursday,1,,,,0,2025-32
CR-22866,Antivirus disabled on workstation: Protection compromised.,Network,Martin,Iron Man,Avengers II,Service B,Closed,Medium,Low,High,High,2025-08-07T01:00:26.000000,2025-08-07T07:28:25.000000,2025-08-08T18:41:24.000000,1,Thursday,0,6.466388888888889,35.216388888888886,41.68277777777778,0,2025-32
CR-22867,Backup failure: Unable to restore files from recovery system.,Failure,Thor,Jan,Matrix,Service A,Closed,Low,Low,Medium,Low,2025-08-07T04:56:42.000000,2025-08-07T07:40:49.000000,2025-08-08T05:10:53.000000,1,Thursday,0,2.7352777777777777,21.50111111111111,24.23638888888889,0,2025-32
CR-22868,Ransomware execution blocked by endpoint protection.,Network,Captain America,Captain America,Matrix,Service B,Closed,High,High,Low,Low,2025-08-07T11:43:56.000000,2025-08-07T18:31:01.000000,2025-08-09T04:14:43.000000,0,Thursday,1,6.784722222222222,33.72833333333333,40.51305555555555,1,2025-32
CR-22869,Data breach notification sent to affected users.,Software,Peter,Thor,Avengers II,Service A,Closed,Low,Low,High,Low,2025-08-07T03:40:05.000000,2025-08-07T05:41:08.000000,2025-08-08T14:22:33.000000,0,Thursday,1,2.0175,32.69027777777778,34.70777777777778,0,2025-32
CR-22870,Malware detected on endpoint: Quarantine initiated.,Failure,Thor,Peter,Matrix,Service C,Closed,Medium,Low,Low,Medium,2025-08-07T22:43:32.000000,2025-08-08T06:54:30.000000,2025-08-10T02:49:57.000000,0,Thursday,1,8.182777777777778,43.924166666666665,52.106944444444444,0,2025-32
CR-22871,SQL injection attempt: Unauthorized queries flagged.,Complaint,Martin,Michal,Matrix,Service B,In Progress,Medium,High,High,Low,2025-08-07T20:43:03.000000,2025-08-08T00:51:52.000000,,0,Thursday,1,4.146944444444444,,,0,2025-32
CR-22872,DDoS attack detected: High traffic spotted on critical service.,Software,Iron Man,Michal,Avengers II,Service B,Closed,Medium,Low,Medium,Medium,2025-08-07T01:43:01.000000,2025-08-07T08:37:57.000000,2025-08-08T22:46:00.000000,0,Thursday,1,6.915555555555556,38.134166666666665,45.04972222222222,0,2025-32
CR-22873,Malware alert: Suspicious executable flagged during scan.,Network,Iron Man,Michal,Avengers,Service C,Closed,Medium,Low,Low,High,2025-08-07T19:38:57.000000,2025-08-08T02:16:33.000000,2025-08-09T18:07:37.000000,0,Thursday,1,6.626666666666667,39.85111111111111,46.477777777777774,0,2025-32
CR-22874,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Complaint,Martin,Thor,Avengers II,Service C,Closed,Low,High,High,High,2025-08-07T06:45:21.000000,2025-08-07T10:11:48.000000,2025-08-08T18:57:10.000000,1,Thursday,0,3.4408333333333334,32.75611111111111,36.19694444444445,1,2025-32
CR-22875,VPN connection failure: Unable to securely tunnel data.,Failure,Jan,Captain America,Avengers,Service C,Closed,High,High,Low,High,2025-08-07T22:03:31.000000,2025-08-08T04:05:52.000000,2025-08-09T05:33:19.000000,1,Thursday,0,6.039166666666667,25.4575,31.496666666666666,1,2025-32
CR-22876,Database schema corruption: Unable to read or query data tables.,Complaint,Michal,Martin,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-08-07T16:41:06.000000,2025-08-07T18:49:51.000000,2025-08-09T03:36:45.000000,0,Thursday,1,2.1458333333333335,32.781666666666666,34.9275,1,2025-32
CR-22877,SQL injection attempt: Unauthorized queries flagged.,Network,Captain America,Captain America,Avengers II,Service A,Closed,Medium,Medium,High,Medium,2025-08-07T06:22:37.000000,2025-08-07T10:06:14.000000,2025-08-08T12:28:49.000000,0,Thursday,1,3.7269444444444444,26.37638888888889,30.10333333333333,1,2025-32
CR-22878,Cloud storage accessed by untrusted device.,Data,Iron Man,Jan,Avengers II,Service C,Closed,High,Low,Medium,Low,2025-08-07T20:13:22.000000,2025-08-08T00:03:50.000000,2025-08-09T03:49:30.000000,1,Thursday,0,3.841111111111111,27.761111111111113,31.60222222222222,0,2025-32
CR-22879,Service outage detected - No connection to database.,Facilities,Michal,Captain America,Matrix,Service A,Closed,Low,Medium,High,Low,2025-08-07T02:09:34.000000,2025-08-07T09:24:45.000000,2025-08-09T00:04:07.000000,0,Thursday,1,7.253055555555555,38.65611111111111,45.909166666666664,1,2025-32
CR-22880,Data download from personal device flagged for review.,Complaint,Thor,Michal,Avengers,Service B,Closed,High,Low,Low,Medium,2025-08-07T06:43:26.000000,2025-08-07T09:39:57.000000,2025-08-08T17:25:15.000000,1,Thursday,0,2.9419444444444443,31.755,34.69694444444445,0,2025-32
CR-22881,Security patch applied: Monitoring for any issues.,Data,Martin,Thor,Avengers II,Service B,Closed,High,High,High,Medium,2025-08-07T00:56:29.000000,2025-08-07T04:59:47.000000,2025-08-07T21:56:07.000000,1,Thursday,0,4.055,16.93888888888889,20.99388888888889,1,2025-32
CR-22882,Malicious macro executed within Office file.,Software,Michal,Michal,Avengers II,Service B,Closed,Low,Medium,High,Low,2025-08-07T03:34:20.000000,2025-08-07T10:38:26.000000,2025-08-07T13:14:41.000000,1,Thursday,0,7.068333333333333,2.6041666666666665,9.6725,0,2025-32
CR-22883,System configuration error: Permissions incorrectly set.,Failure,Martin,Peter,Avengers II,Service A,Closed,Low,High,High,Low,2025-08-07T20:56:55.000000,2025-08-08T03:33:31.000000,2025-08-08T21:16:24.000000,0,Thursday,1,6.61,17.71472222222222,24.32472222222222,1,2025-32
CR-22884,Malware alert: Suspicious executable flagged during scan.,Network,Thor,Peter,Avengers,Service C,In Progress,High,High,High,High,2025-08-07T10:12:48.000000,2025-08-07T12:22:45.000000,,1,Thursday,0,2.1658333333333335,,,0,2025-32
CR-22885,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Access,Thor,Thor,Avengers II,Service A,Closed,High,Low,High,High,2025-08-07T17:22:41.000000,2025-08-07T21:23:50.000000,2025-08-08T16:05:29.000000,1,Thursday,0,4.019166666666667,18.694166666666668,22.713333333333335,0,2025-32
CR-22886,Failed Workflow - ID: 0000,Hardware,Thor,Peter,Avengers,Service A,Closed,High,Low,Medium,Medium,2025-08-07T04:40:27.000000,2025-08-07T09:34:30.000000,2025-08-07T17:44:59.000000,1,Thursday,0,4.900833333333333,8.174722222222222,13.075555555555555,0,2025-32
CR-22887,File integrity check failed: Data corruption suspected.,Facilities,Martin,Jan,Avengers II,Service C,Closed,Medium,Low,Medium,Medium,2025-08-07T04:07:21.000000,2025-08-07T12:08:05.000000,2025-08-09T01:46:07.000000,0,Thursday,1,8.012222222222222,37.63388888888889,45.64611111111111,0,2025-32
CR-22888,User login failed: Account locked due to excessive login attempts.,Facilities,Iron Man,Peter,Matrix,Service A,Closed,Low,High,Low,High,2025-08-07T14:37:32.000000,2025-08-07T21:58:07.000000,2025-08-09T04:22:51.000000,0,Thursday,1,7.343055555555556,30.412222222222223,37.75527777777778,1,2025-32
CR-22889,Unscheduled software change: Application version rolled back.,Hardware,Captain America,Peter,Avengers II,Service A,Closed,High,High,Low,Medium,2025-08-07T09:44:54.000000,2025-08-07T16:07:05.000000,2025-08-08T05:24:58.000000,1,Thursday,0,6.369722222222222,13.298055555555555,19.66777777777778,1,2025-32
CR-22890,Memory exhaustion detected: Application terminated unexpectedly.,Facilities,Peter,Michal,Avengers,Service A,Closed,Low,Medium,High,Medium,2025-08-07T11:07:48.000000,2025-08-07T16:41:39.000000,2025-08-09T06:57:26.000000,1,Thursday,0,5.564166666666667,38.26305555555555,43.827222222222225,1,2025-32
CR-22891,Malware alert: Suspicious executable flagged during scan.,Network,Jan,Iron Man,Matrix,Service A,Closed,Low,Low,Low,High,2025-08-07T11:18:05.000000,2025-08-07T15:53:22.000000,2025-08-09T06:04:23.000000,1,Thursday,0,4.588055555555555,38.18361111111111,42.77166666666667,0,2025-32
CR-22892,Critical security incident logged: Immediate remediation required.,Facilities,Captain America,Peter,Avengers II,Service B,Closed,Low,Low,Low,High,2025-08-07T04:27:19.000000,2025-08-07T07:06:40.000000,2025-08-08T06:43:26.000000,1,Thursday,0,2.6558333333333333,23.61277777777778,26.26861111111111,0,2025-32
CR-22893,Backup server unreachable: Error code 502.,Software,Martin,Captain America,Matrix,Service B,Closed,Low,Medium,High,Medium,2025-08-07T13:07:39.000000,2025-08-07T19:12:30.000000,2025-08-07T23:52:06.000000,1,Thursday,0,6.0808333333333335,4.66,10.740833333333333,0,2025-32
CR-22894,Data exfiltration alert: Large outbound transfer from server.,Access,Thor,Thor,Avengers II,Service A,Closed,Medium,Medium,Low,Low,2025-08-07T02:58:13.000000,2025-08-07T10:10:32.000000,2025-08-09T00:25:53.000000,1,Thursday,0,7.205277777777778,38.255833333333335,45.46111111111111,1,2025-32
CR-22895,Suspicious activity detected on account: User A.,Software,Iron Man,Jan,Avengers,Service A,Closed,High,High,Medium,Medium,2025-08-07T20:19:57.000000,2025-08-08T03:57:54.000000,2025-08-09T02:42:58.000000,0,Thursday,1,7.6325,22.75111111111111,30.38361111111111,1,2025-32
CR-22896,Malicious macro executed within Office file.,Complaint,Jan,Iron Man,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-08-07T03:14:05.000000,2025-08-07T09:06:13.000000,2025-08-07T17:33:01.000000,1,Thursday,0,5.868888888888889,8.446666666666667,14.315555555555555,0,2025-32
CR-22897,Memory exhaustion detected: Application terminated unexpectedly.,Access,Peter,Iron Man,Avengers,Service A,Closed,High,Medium,Medium,High,2025-08-07T07:28:59.000000,2025-08-07T10:41:07.000000,2025-08-08T07:57:20.000000,1,Thursday,0,3.2022222222222223,21.27027777777778,24.4725,0,2025-32
CR-22898,Backup failure: Unable to restore files from recovery system.,Network,Michal,Jan,Matrix,Service A,Closed,High,High,High,Low,2025-08-07T06:55:41.000000,2025-08-07T12:50:16.000000,2025-08-08T22:12:13.000000,1,Thursday,0,5.909722222222222,33.365833333333335,39.275555555555556,1,2025-32
CR-22899,Access request denied: Policy mismatch.,Access,Jan,Michal,Matrix,Service C,Closed,Low,Medium,High,Low,2025-08-07T02:09:43.000000,2025-08-07T08:35:20.000000,2025-08-08T05:54:26.000000,0,Thursday,1,6.426944444444445,21.31833333333333,27.745277777777776,0,2025-32
CR-22900,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Data,Michal,Captain America,Matrix,Service C,Closed,High,High,High,Low,2025-08-07T17:39:19.000000,2025-08-08T00:49:22.000000,2025-08-08T23:38:00.000000,0,Thursday,1,7.1675,22.810555555555556,29.978055555555557,1,2025-32
CR-22901,Unauthorized access attempt detected: IP flagged as suspicious.,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,High,High,High,Medium,2025-08-07T06:57:32.000000,2025-08-07T12:47:17.000000,2025-08-09T02:51:45.000000,1,Thursday,0,5.829166666666667,38.074444444444445,43.90361111111111,1,2025-32
CR-22902,SOC analyst triggered investigation for suspicious server activity.,Hardware,Michal,Michal,Matrix,Service A,New,Medium,Medium,High,High,2025-08-07T23:14:20.000000,,,1,Thursday,0,,,,0,2025-32
CR-22903,System configuration error: Permissions incorrectly set.,Hardware,Thor,Thor,Matrix,Service B,Closed,Medium,High,Medium,Medium,2025-08-07T06:08:10.000000,2025-08-07T08:17:47.000000,2025-08-09T03:38:18.000000,0,Thursday,1,2.160277777777778,43.341944444444444,45.50222222222222,1,2025-32
CR-22904,Email flagged as phishing: Sensitive keywords detected.,Complaint,Thor,Iron Man,Matrix,Service B,Closed,High,Low,Low,High,2025-08-07T02:03:57.000000,2025-08-07T07:28:51.000000,2025-08-08T14:36:58.000000,0,Thursday,1,5.415,31.135277777777777,36.55027777777778,0,2025-32
CR-22905,User login failed: Account locked due to excessive login attempts.,Complaint,Michal,Thor,Matrix,Service A,Closed,Low,High,High,Medium,2025-08-07T23:07:51.000000,2025-08-08T03:45:57.000000,2025-08-08T23:56:13.000000,1,Thursday,0,4.635,20.17111111111111,24.80611111111111,1,2025-32
CR-22906,User permission escalation detected on cloud platform.,Data,Iron Man,Martin,Matrix,Service B,Closed,High,Medium,Medium,Low,2025-08-07T05:10:58.000000,2025-08-07T12:15:12.000000,2025-08-08T20:54:54.000000,0,Thursday,1,7.070555555555556,32.66166666666667,39.73222222222222,1,2025-32
