Number,Short Description,Process,System,Assignment Group,Assigned To,State,Priority,Urgency,Impact,Day,Created,Actual Start,Actual End,Closed,Processing Time (hrs),Response Time (hrs),Total Time (hrs)
ERR-2025-06903,Wrong account debited - fee charged to incorrect cost centre,International Transfer,Stargate,Avengers,Iron Man,Closed,Critical,High,High,Tuesday,2025-08-19T09:20:09.000000,2025-08-19T09:39:09.000000,2025-08-19T10:08:21.222334,2025-08-19T10:31:21.222334,0.4866666666666667,0.31666666666666665,1.1866666666666668
ERR-2025-06904,Wrong creditor name in SEPA file causing beneficiary mismatch,SEPA Payment,Stargate,Avengers,Thor,Closed,High,High,High,Monday,2025-08-25T08:04:02.000000,2025-08-25T08:20:02.000000,2025-08-25T12:25:35.187617,2025-08-25T12:53:35.187617,4.0925,0.26666666666666666,4.825833333333334
ERR-2025-06905,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Iron Man,Closed,High,High,Medium,Saturday,2025-08-09T16:25:50.000000,2025-08-09T17:21:50.000000,2025-08-09T21:31:06.809556,2025-08-09T22:07:06.809556,4.154444444444445,0.9333333333333333,5.687777777777778
ERR-2025-06906,Wrong FX rate applied to customer transaction - financial loss,Rates,SOLEMOS,Avengers,Iron Man,Closed,Low,Low,Low,Monday,2025-08-11T15:18:31.000000,2025-08-11T16:19:31.000000,2025-08-13T06:30:11.626728,2025-08-13T07:14:11.626728,38.17777777777778,1.0166666666666666,39.92777777777778
ERR-2025-06907,Edit Queue SLA breached - payment delayed beyond agreed window,Edit Q,STP CAT,Avengers,Doctor Strange,Closed,High,High,High,Thursday,2025-08-07T20:07:27.000000,2025-08-07T20:33:27.000000,2025-08-08T00:12:31.184090,2025-08-08T00:45:31.184090,3.651111111111111,0.43333333333333335,4.634444444444444
ERR-2025-06908,Missing payment reference - correspondent bank unable to apply funds,International Transfer,Stargate,Avengers,Iron Man,Closed,Critical,High,High,Monday,2025-08-18T13:14:33.000000,2025-08-18T14:14:33.000000,2025-08-18T15:42:52.153244,2025-08-18T16:48:52.153244,1.4719444444444445,1.0,3.5719444444444446
ERR-2025-06909,SEPA file submitted with incorrect execution date,SEPA Payment,STP CAT,Avengers,Thor,Closed,Medium,Medium,Medium,Saturday,2025-08-23T15:13:46.000000,2025-08-23T15:44:46.000000,2025-08-24T05:55:24.402810,2025-08-24T07:00:24.402810,14.177222222222222,0.5166666666666667,15.777222222222223
ERR-2025-06910,Missing payment reference - correspondent bank unable to apply funds,International Transfer,Stargate,Avengers,Thor,Closed,High,High,Medium,Friday,2025-08-01T09:30:41.000000,2025-08-01T10:00:41.000000,2025-08-01T12:42:41.364735,2025-08-01T13:40:41.364735,2.7,0.5,4.166666666666667
ERR-2025-06911,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Iron Man,Closed,Medium,Medium,Low,Tuesday,2025-08-05T10:53:50.000000,2025-08-05T11:35:50.000000,2025-08-06T08:55:37.849271,2025-08-06T10:01:37.849271,21.329722222222223,0.7,23.129722222222224
ERR-2025-06912,Wrong FX rate applied to customer transaction - financial loss,Rates,SOLEMOS,Avengers,Doctor Strange,Closed,High,High,High,Tuesday,2025-08-26T22:09:49.000000,2025-08-26T23:05:49.000000,2025-08-27T04:45:40.509843,2025-08-27T05:24:40.509843,5.664166666666667,0.9333333333333333,7.2475
ERR-2025-06913,Incorrect BIC code used - wire transfer routed to wrong bank,International Transfer,Stargate,Avengers,Thor,Closed,High,Medium,High,Monday,2025-08-11T16:33:18.000000,2025-08-11T18:03:18.000000,2025-08-11T22:13:04.642115,2025-08-11T23:38:04.642115,4.1627777777777775,1.5,7.079444444444444
ERR-2025-06914,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Thor,Closed,Critical,High,High,Friday,2025-08-15T22:19:29.000000,2025-08-15T23:46:29.000000,2025-08-16T01:13:00.335963,2025-08-16T01:33:00.335963,1.4419444444444445,1.45,3.225277777777778
ERR-2025-06915,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Hulk,Closed,Critical,High,Medium,Wednesday,2025-08-13T13:39:50.000000,2025-08-13T14:36:50.000000,2025-08-13T16:45:57.395508,2025-08-13T17:24:57.395508,2.1519444444444447,0.95,3.7519444444444443
ERR-2025-06916,Edit Q item duplicated after system timeout during save,Edit Q,SOLEMOS,Avengers,Hulk,Closed,High,High,Medium,Friday,2025-08-08T00:37:49.000000,2025-08-08T01:56:49.000000,2025-08-08T06:54:05.436094,2025-08-08T07:40:05.436094,4.954444444444444,1.3166666666666667,7.0377777777777775
ERR-2025-06917,Incorrect BIC code used - wire transfer routed to wrong bank,International Transfer,Stargate,Avengers,Thor,Closed,High,High,Medium,Monday,2025-08-18T10:14:04.000000,2025-08-18T11:40:04.000000,2025-08-18T15:32:51.868685,2025-08-18T16:11:51.868685,3.879722222222222,1.4333333333333333,5.963055555555556
ERR-2025-06918,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Doctor Strange,Closed,Critical,High,High,Monday,2025-08-04T22:07:16.000000,2025-08-04T23:27:16.000000,2025-08-05T00:09:01.515063,2025-08-05T01:37:01.515063,0.6958333333333333,1.3333333333333333,3.495833333333333
ERR-2025-06919,Missing payment reference - correspondent bank unable to apply funds,International Transfer,Stargate,Avengers,Thor,Closed,Critical,High,High,Thursday,2025-08-07T18:14:42.000000,2025-08-07T18:25:42.000000,2025-08-07T20:20:32.415361,2025-08-07T21:50:32.415361,1.913888888888889,0.18333333333333332,3.5972222222222223
ERR-2025-06920,Incorrect interest rate applied to overnight settlement,Rates,SOLEMOS,Avengers,Hulk,Closed,Critical,High,High,Wednesday,2025-08-13T08:17:34.000000,2025-08-13T09:20:34.000000,2025-08-13T11:12:07.197819,2025-08-13T12:04:07.197819,1.8591666666666666,1.05,3.7758333333333334
ERR-2025-06921,Wrong remittance information causing invoice matching failure,SEPA Payment,Stargate,Avengers,Iron Man,Closed,Critical,High,High,Thursday,2025-08-07T01:39:04.000000,2025-08-07T01:55:04.000000,2025-08-07T03:41:40.304610,2025-08-07T04:31:40.304610,1.7766666666666666,0.26666666666666666,2.8766666666666665
ERR-2025-06922,Wrong currency applied to domestic GBP payment,Domestic Payment,STP CAT,Avengers,Thor,Closed,Medium,Medium,Low,Saturday,2025-08-30T17:46:20.000000,2025-08-30T18:00:20.000000,2025-08-31T06:10:10.693698,2025-08-31T06:57:10.693698,12.16388888888889,0.23333333333333334,13.180555555555555
ERR-2025-06923,Wrong fee applied to basic payment transaction,Basic Payment,STP CAT,Avengers,Doctor Strange,Closed,Critical,Medium,High,Tuesday,2025-08-05T12:21:05.000000,2025-08-05T13:11:05.000000,2025-08-05T14:28:08.909632,2025-08-05T15:28:08.909632,1.2841666666666667,0.8333333333333334,3.1175
ERR-2025-06924,Rate tolerance breach not escalated to treasury desk,Rates,SOLEMOS,Avengers,Iron Man,Closed,Critical,High,High,Tuesday,2025-08-05T17:33:08.000000,2025-08-05T18:24:08.000000,2025-08-05T20:16:13.326642,2025-08-05T21:22:13.326642,1.8680555555555556,0.85,3.8180555555555555
ERR-2025-06925,Cross-rate calculation error not caught before payment dispatch,Rates,SOLEMOS,Avengers,Iron Man,Closed,High,Medium,High,Monday,2025-08-25T08:25:39.000000,2025-08-25T08:54:39.000000,2025-08-25T11:09:54.138851,2025-08-25T11:51:54.138851,2.254166666666667,0.48333333333333334,3.4375
ERR-2025-06926,SWIFT message sent with incorrect sender reference,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,High,Friday,2025-08-01T08:52:21.000000,2025-08-01T09:43:21.000000,2025-08-01T13:13:44.508173,2025-08-01T14:34:44.508173,3.506388888888889,0.85,5.706388888888889
ERR-2025-06927,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Hulk,Closed,Critical,High,Medium,Thursday,2025-08-07T11:18:17.000000,2025-08-07T11:46:17.000000,2025-08-07T13:01:15.551188,2025-08-07T13:21:15.551188,1.2494444444444444,0.4666666666666667,2.0494444444444446
ERR-2025-06928,SEPA payment amount keyed incorrectly - underpayment to supplier,SEPA Payment,STP CAT,Avengers,Doctor Strange,Closed,High,Medium,High,Friday,2025-08-15T09:05:59.000000,2025-08-15T10:10:59.000000,2025-08-15T14:27:39.809506,2025-08-15T15:15:39.809506,4.277777777777778,1.0833333333333333,6.161111111111111
ERR-2025-06929,SEPA file submitted with incorrect execution date,SEPA Payment,Stargate,Avengers,Thor,Closed,Medium,Low,Low,Thursday,2025-08-21T10:39:31.000000,2025-08-21T11:01:31.000000,2025-08-22T09:49:38.238388,2025-08-22T10:40:38.238388,22.801944444444445,0.36666666666666664,24.01861111111111
ERR-2025-06930,SEPA payment sent to closed account - return not processed timely,SEPA Payment,Stargate,Avengers,Iron Man,Closed,High,High,Medium,Tuesday,2025-08-05T11:08:11.000000,2025-08-05T11:51:11.000000,2025-08-05T16:10:29.464414,2025-08-05T17:19:29.464414,4.321666666666666,0.7166666666666667,6.1883333333333335
ERR-2025-06931,Edit Q item duplicated after system timeout during save,Edit Q,STP CAT,Avengers,Thor,Closed,Medium,Medium,Medium,Monday,2025-08-18T15:09:20.000000,2025-08-18T15:22:20.000000,2025-08-19T01:50:59.652161,2025-08-19T03:09:59.652161,10.4775,0.21666666666666667,12.010833333333334
ERR-2025-06932,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,Low,Tuesday,2025-08-19T13:01:56.000000,2025-08-19T13:53:56.000000,2025-08-19T19:17:30.817583,2025-08-19T19:35:30.817583,5.392777777777778,0.8666666666666667,6.559444444444445
ERR-2025-06933,Payment released from Edit Q to wrong processing queue,Edit Q,STP CAT,Avengers,Doctor Strange,On Hold,Low,Low,Low,Thursday,2025-08-14T21:53:23.000000,,,,,,
ERR-2025-06934,SEPA payment amount keyed incorrectly - underpayment to supplier,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,High,Medium,Medium,Wednesday,2025-08-06T14:54:41.000000,2025-08-06T15:29:41.000000,2025-08-06T19:42:10.313565,2025-08-06T20:10:10.313565,4.208055555555555,0.5833333333333334,5.258055555555556
ERR-2025-06935,Stale rate used after feed failure - not escalated in time,Rates,SOLEMOS,Avengers,Thor,Closed,Critical,High,Medium,Wednesday,2025-08-27T11:19:51.000000,2025-08-27T12:43:51.000000,2025-08-27T14:45:25.697419,2025-08-27T16:13:25.697419,2.026111111111111,1.4,4.892777777777778
ERR-2025-06936,Wrong remittance information causing invoice matching failure,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,Medium,Low,Medium,Sunday,2025-08-10T20:01:32.000000,2025-08-10T21:04:32.000000,2025-08-11T13:50:42.337750,2025-08-11T14:15:42.337750,16.769444444444446,1.05,18.23611111111111
ERR-2025-06937,Duplicate SEPA batch uploaded - double payments issued to beneficiaries,SEPA Payment,Stargate,Avengers,Hulk,Closed,Medium,Medium,Low,Thursday,2025-08-07T18:08:36.000000,2025-08-07T19:12:36.000000,2025-08-08T05:04:32.722756,2025-08-08T05:58:32.722756,9.865555555555556,1.0666666666666667,11.832222222222223
ERR-2025-06938,SEPA payment amount keyed incorrectly - underpayment to supplier,SEPA Payment,Stargate,Avengers,Iron Man,Closed,High,High,High,Monday,2025-08-04T23:15:12.000000,2025-08-04T23:34:12.000000,2025-08-05T02:39:53.863672,2025-08-05T03:55:53.863672,3.0947222222222224,0.31666666666666665,4.678055555555556
ERR-2025-06939,Incorrect amount entered - overpayment of 10x original value,International Transfer,Stargate,Avengers,Hulk,In Progress,Critical,Medium,High,Wednesday,2025-08-20T01:22:35.000000,2025-08-20T02:04:35.000000,,,,0.7,
ERR-2025-06940,Incorrect interest rate applied to overnight settlement,Rates,SOLEMOS,Avengers,Iron Man,Closed,Critical,High,High,Tuesday,2025-08-05T08:13:31.000000,2025-08-05T09:23:31.000000,2025-08-05T10:31:49.588627,2025-08-05T10:50:49.588627,1.1383333333333334,1.1666666666666667,2.6216666666666666
ERR-2025-06941,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,Medium,Medium,Tuesday,2025-08-12T13:55:43.000000,2025-08-12T14:53:43.000000,2025-08-12T18:03:57.630089,2025-08-12T19:25:57.630089,3.1705555555555556,0.9666666666666667,5.503888888888889
ERR-2025-06942,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Thor,Closed,High,Medium,Medium,Tuesday,2025-08-26T12:47:52.000000,2025-08-26T13:27:52.000000,2025-08-26T18:35:03.271882,2025-08-26T19:55:03.271882,5.119722222222222,0.6666666666666666,7.119722222222222
ERR-2025-06943,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,STP CAT,Avengers,Thor,Closed,Critical,High,High,Tuesday,2025-08-05T08:15:18.000000,2025-08-05T08:57:18.000000,2025-08-05T11:48:14.843304,2025-08-05T12:06:14.843304,2.848888888888889,0.7,3.848888888888889
ERR-2025-06944,Wrong creditor name in SEPA file causing beneficiary mismatch,SEPA Payment,STP CAT,Avengers,Hulk,Closed,Medium,Low,Medium,Tuesday,2025-08-12T11:26:26.000000,2025-08-12T12:12:26.000000,2025-08-13T10:10:12.974547,2025-08-13T11:17:12.974547,21.962777777777777,0.7666666666666667,23.84611111111111
ERR-2025-06945,Edit Queue item approved without verifying beneficiary details,Edit Q,SOLEMOS,Avengers,Doctor Strange,In Progress,Medium,Medium,Low,Monday,2025-08-04T06:25:18.000000,2025-08-04T07:24:18.000000,,,,0.9833333333333333,
ERR-2025-06946,Wrong IBAN updated during manual correction in Edit Queue,Edit Q,SOLEMOS,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Thursday,2025-08-28T14:58:28.000000,2025-08-28T15:37:28.000000,2025-08-29T13:56:14.930207,2025-08-29T14:22:14.930207,22.31277777777778,0.65,23.39611111111111
ERR-2025-06947,SWIFT message sent with incorrect sender reference,International Transfer,Stargate,Avengers,Thor,Closed,High,High,Medium,Tuesday,2025-08-19T10:27:36.000000,2025-08-19T11:56:36.000000,2025-08-19T17:14:58.541231,2025-08-19T17:30:58.541231,5.306111111111111,1.4833333333333334,7.056111111111111
ERR-2025-06948,Wrong IBAN entered in bulk SEPA file - batch partially rejected,SEPA Payment,STP CAT,Avengers,Doctor Strange,Closed,Critical,High,High,Thursday,2025-08-14T02:18:52.000000,2025-08-14T02:58:52.000000,2025-08-14T04:00:16.705802,2025-08-14T05:19:16.705802,1.0233333333333334,0.6666666666666666,3.006666666666667
ERR-2025-06949,Payment in Edit Q actioned by unauthorised operator,Edit Q,SOLEMOS,Avengers,Doctor Strange,Closed,High,High,Medium,Thursday,2025-08-28T04:00:03.000000,2025-08-28T05:07:03.000000,2025-08-28T07:52:56.631539,2025-08-28T08:10:56.631539,2.7647222222222223,1.1166666666666667,4.181388888888889
ERR-2025-06950,SEPA recall issued too late - funds already credited and withdrawn,SEPA Payment,Stargate,Avengers,Iron Man,On Hold,High,High,Low,Friday,2025-08-08T14:37:52.000000,,,,,,
ERR-2025-06951,SWIFT message sent with incorrect sender reference,International Transfer,Stargate,Avengers,Thor,Closed,Low,Low,Low,Wednesday,2025-08-27T14:11:59.000000,2025-08-27T15:06:59.000000,2025-08-29T12:18:59.517746,2025-08-29T13:11:59.517746,45.2,0.9166666666666666,47.0
ERR-2025-06952,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Hulk,Closed,Critical,High,High,Thursday,2025-08-21T00:14:29.000000,2025-08-21T01:15:29.000000,2025-08-21T02:21:01.563990,2025-08-21T03:40:01.563990,1.0922222222222222,1.0166666666666666,3.4255555555555555
ERR-2025-06953,Incorrect end-to-end reference causing reconciliation failure,SEPA Payment,Stargate,Avengers,Thor,Closed,Low,Low,Low,Tuesday,2025-08-05T13:44:13.000000,2025-08-05T14:17:13.000000,2025-08-06T13:10:35.551000,2025-08-06T14:08:35.551000,22.889444444444443,0.55,24.406111111111112
ERR-2025-06954,Wrong currency selected - USD payment sent instead of EUR,International Transfer,Stargate,Avengers,Iron Man,Closed,High,Medium,Medium,Friday,2025-08-15T06:57:37.000000,2025-08-15T07:28:37.000000,2025-08-15T10:15:48.962865,2025-08-15T10:53:48.962865,2.786388888888889,0.5166666666666667,3.9363888888888887
ERR-2025-06955,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Thor,Closed,Medium,Medium,Medium,Monday,2025-08-04T10:34:57.000000,2025-08-04T10:54:57.000000,2025-08-05T03:30:48.726128,2025-08-05T04:48:48.726128,16.5975,0.3333333333333333,18.230833333333333
ERR-2025-06956,SEPA file submitted with incorrect execution date,SEPA Payment,STP CAT,Avengers,Doctor Strange,Closed,Critical,High,High,Monday,2025-08-25T14:01:23.000000,2025-08-25T15:16:23.000000,2025-08-25T15:44:22.598139,2025-08-25T16:12:22.598139,0.4663888888888889,1.25,2.1830555555555557
ERR-2025-06957,Basic payment processed on wrong value date,Basic Payment,STP CAT,Avengers,Thor,Closed,High,High,High,Wednesday,2025-08-06T11:10:26.000000,2025-08-06T11:46:26.000000,2025-08-06T17:29:53.857719,2025-08-06T18:47:53.857719,5.724166666666667,0.6,7.6241666666666665
ERR-2025-06958,Incorrect BIC code used - wire transfer routed to wrong bank,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,Medium,Medium,Wednesday,2025-08-06T15:16:10.000000,2025-08-06T16:32:10.000000,2025-08-06T20:15:19.052171,2025-08-06T21:29:19.052171,3.7191666666666667,1.2666666666666666,6.219166666666666
ERR-2025-06959,SEPA payment sent to closed account - return not processed timely,SEPA Payment,Stargate,Avengers,Thor,Closed,Critical,High,High,Wednesday,2025-08-13T09:08:36.000000,2025-08-13T09:33:36.000000,2025-08-13T11:40:06.143582,2025-08-13T12:01:06.143582,2.1083333333333334,0.4166666666666667,2.875
ERR-2025-06960,Wrong account debited - fee charged to incorrect cost centre,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,High,High,Friday,2025-08-29T10:09:44.000000,2025-08-29T11:31:44.000000,2025-08-29T16:13:30.539626,2025-08-29T16:53:30.539626,4.696111111111111,1.3666666666666667,6.729444444444445
ERR-2025-06961,SEPA payment sent to closed account - return not processed timely,SEPA Payment,STP CAT,Avengers,Hulk,Closed,High,High,High,Sunday,2025-08-03T17:25:50.000000,2025-08-03T18:36:50.000000,2025-08-03T22:08:38.114844,2025-08-03T22:40:38.114844,3.53,1.1833333333333333,5.246666666666667
ERR-2025-06962,Stale rate used after feed failure - not escalated in time,Rates,SOLEMOS,Avengers,Doctor Strange,Closed,High,High,High,Wednesday,2025-08-20T07:55:37.000000,2025-08-20T08:54:37.000000,2025-08-20T13:04:06.995788,2025-08-20T14:00:06.995788,4.158055555555555,0.9833333333333333,6.074722222222222
ERR-2025-06963,Incorrect end-to-end reference causing reconciliation failure,SEPA Payment,Stargate,Avengers,Thor,Closed,Critical,High,High,Thursday,2025-08-28T12:09:37.000000,2025-08-28T12:42:37.000000,2025-08-28T14:25:58.480616,2025-08-28T14:47:58.480616,1.7225,0.55,2.6391666666666667
ERR-2025-06964,Incorrect BIC code used - wire transfer routed to wrong bank,International Transfer,Stargate,Avengers,Iron Man,Closed,Medium,Low,Medium,Saturday,2025-08-23T11:13:09.000000,2025-08-23T12:38:09.000000,2025-08-24T00:42:25.188149,2025-08-24T01:50:25.188149,12.071111111111112,1.4166666666666667,14.62111111111111
ERR-2025-06965,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,High,High,Wednesday,2025-08-06T00:32:53.000000,2025-08-06T01:32:53.000000,2025-08-06T07:27:52.350131,2025-08-06T08:09:52.350131,5.916388888888889,1.0,7.616388888888889
ERR-2025-06966,Transaction limit breach not flagged during processing,Basic Payment,STP CAT,Avengers,Doctor Strange,Closed,Medium,Low,Medium,Tuesday,2025-08-26T05:09:00.000000,2025-08-26T05:56:00.000000,2025-08-26T19:14:00.082661,2025-08-26T20:05:00.082661,13.3,0.7833333333333333,14.933333333333334
ERR-2025-06967,Rate effective date set incorrectly - wrong rate applied to batch,Rates,SOLEMOS,Avengers,Hulk,Closed,Medium,Low,Medium,Tuesday,2025-08-12T15:44:10.000000,2025-08-12T17:12:10.000000,2025-08-13T08:03:27.929541,2025-08-13T09:33:27.929541,14.854722222222222,1.4666666666666666,17.82138888888889
ERR-2025-06968,SEPA payment sent to closed account - return not processed timely,SEPA Payment,Stargate,Avengers,Thor,Closed,Medium,Medium,Low,Sunday,2025-08-10T13:55:25.000000,2025-08-10T14:25:25.000000,2025-08-11T02:10:34.777456,2025-08-11T03:14:34.777456,11.7525,0.5,13.319166666666666
ERR-2025-06969,Stale rate used after feed failure - not escalated in time,Rates,SOLEMOS,Avengers,Hulk,Closed,High,High,Medium,Friday,2025-08-29T19:06:19.000000,2025-08-29T20:36:19.000000,2025-08-29T23:27:54.047612,2025-08-30T00:39:54.047612,2.859722222222222,1.5,5.559722222222222
ERR-2025-06970,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,High,High,Medium,Monday,2025-08-11T08:17:42.000000,2025-08-11T09:12:42.000000,2025-08-11T13:40:52.892206,2025-08-11T13:55:52.892206,4.469444444444444,0.9166666666666666,5.636111111111111
ERR-2025-06971,Edit Q item duplicated after system timeout during save,Edit Q,SOLEMOS,Avengers,Doctor Strange,In Progress,High,High,High,Monday,2025-08-11T16:44:47.000000,2025-08-11T17:41:47.000000,,,,0.95,
ERR-2025-06972,SEPA recall issued too late - funds already credited and withdrawn,SEPA Payment,Stargate,Avengers,Hulk,Closed,Medium,Medium,Low,Sunday,2025-08-24T11:34:51.000000,2025-08-24T12:31:51.000000,2025-08-25T08:48:31.792995,2025-08-25T09:38:31.792995,20.27777777777778,0.95,22.06111111111111
ERR-2025-06973,Wrong account debited - fee charged to incorrect cost centre,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,High,Friday,2025-08-15T09:39:39.000000,2025-08-15T10:36:39.000000,2025-08-15T16:11:24.812229,2025-08-15T17:04:24.812229,5.579166666666667,0.95,7.4125
ERR-2025-06974,Rate effective date set incorrectly - wrong rate applied to batch,Rates,SOLEMOS,Avengers,Thor,Closed,Critical,High,High,Wednesday,2025-08-20T08:43:05.000000,2025-08-20T09:32:05.000000,2025-08-20T11:43:35.902748,2025-08-20T12:05:35.902748,2.191666666666667,0.8166666666666667,3.375
ERR-2025-06975,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,STP CAT,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Friday,2025-08-29T17:09:54.000000,2025-08-29T17:37:54.000000,2025-08-30T08:10:56.908112,2025-08-30T09:01:56.908112,14.550555555555556,0.4666666666666667,15.867222222222223
ERR-2025-06976,Payment submitted without required compliance pre-approval,International Transfer,Stargate,Avengers,Iron Man,In Progress,High,High,High,Tuesday,2025-08-05T12:33:32.000000,2025-08-05T12:51:32.000000,,,,0.3,
ERR-2025-06977,Rate effective date set incorrectly - wrong rate applied to batch,Rates,SOLEMOS,Avengers,Doctor Strange,Closed,Critical,High,High,Monday,2025-08-04T14:19:41.000000,2025-08-04T14:35:41.000000,2025-08-04T15:52:46.018186,2025-08-04T16:21:46.018186,1.2847222222222223,0.26666666666666666,2.0347222222222223
ERR-2025-06978,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Iron Man,New,High,High,Medium,Sunday,2025-08-03T09:22:25.000000,,,,,,
ERR-2025-06979,Incorrect interest rate applied to overnight settlement,Rates,SOLEMOS,Avengers,Thor,Closed,Critical,Medium,High,Saturday,2025-08-02T17:32:44.000000,2025-08-02T18:42:44.000000,2025-08-02T19:31:57.837232,2025-08-02T20:01:57.837232,0.8202777777777778,1.1666666666666667,2.4869444444444446
ERR-2025-06980,Domestic transfer sent to dormant account - return not monitored,Domestic Payment,STP CAT,Avengers,Hulk,Closed,Medium,Medium,Medium,Wednesday,2025-08-06T15:53:19.000000,2025-08-06T16:45:19.000000,2025-08-07T04:30:48.531476,2025-08-07T05:59:48.531476,11.758055555555556,0.8666666666666667,14.108055555555556
ERR-2025-06981,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,Medium,Sunday,2025-08-10T18:44:25.000000,2025-08-10T18:58:25.000000,2025-08-11T00:26:47.846802,2025-08-11T01:09:47.846802,5.472777777777778,0.23333333333333334,6.422777777777778
ERR-2025-06982,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,High,High,Tuesday,2025-08-05T10:18:52.000000,2025-08-05T10:51:52.000000,2025-08-05T12:58:59.574501,2025-08-05T13:24:59.574501,2.118611111111111,0.55,3.1019444444444444
ERR-2025-06983,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,High,High,Medium,Friday,2025-08-22T18:38:18.000000,2025-08-22T19:27:18.000000,2025-08-22T21:44:21.316698,2025-08-22T22:30:21.316698,2.2841666666666667,0.8166666666666667,3.8675
ERR-2025-06984,Duplicate international wire submitted - double payment issued,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,High,High,Friday,2025-08-15T11:20:27.000000,2025-08-15T12:08:27.000000,2025-08-15T17:55:40.300248,2025-08-15T19:18:40.300248,5.786944444444444,0.8,7.970277777777778
ERR-2025-06985,Missing payment reference - correspondent bank unable to apply funds,International Transfer,Stargate,Avengers,Thor,Closed,Medium,Low,Medium,Sunday,2025-08-31T10:46:01.000000,2025-08-31T10:57:01.000000,2025-09-01T05:08:38.067813,2025-09-01T05:40:38.067813,18.19361111111111,0.18333333333333332,18.91027777777778
ERR-2025-06986,Missing payment reference - correspondent bank unable to apply funds,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,High,Medium,Tuesday,2025-08-19T15:35:21.000000,2025-08-19T17:02:21.000000,2025-08-19T20:52:11.936374,2025-08-19T21:40:11.936374,3.8305555555555557,1.45,6.080555555555556
ERR-2025-06987,Incorrect interest rate applied to overnight settlement,Rates,SOLEMOS,Avengers,Thor,Closed,Critical,High,High,Tuesday,2025-08-26T12:52:00.000000,2025-08-26T13:02:00.000000,2025-08-26T15:06:56.827405,2025-08-26T16:35:56.827405,2.082222222222222,0.16666666666666666,3.732222222222222
ERR-2025-06988,SWIFT message sent with incorrect sender reference,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,Medium,Thursday,2025-08-28T14:58:56.000000,2025-08-28T15:12:56.000000,2025-08-28T20:35:05.201530,2025-08-28T21:57:05.201530,5.369166666666667,0.23333333333333334,6.969166666666666
ERR-2025-06989,Missing payment reference - correspondent bank unable to apply funds,International Transfer,Stargate,Avengers,Iron Man,Closed,High,High,High,Tuesday,2025-08-12T12:18:40.000000,2025-08-12T12:40:40.000000,2025-08-12T17:22:44.623234,2025-08-12T17:52:44.623234,4.7011111111111115,0.36666666666666664,5.567777777777778
ERR-2025-06990,SEPA payment amount keyed incorrectly - underpayment to supplier,SEPA Payment,STP CAT,Avengers,Thor,Closed,Critical,High,High,Thursday,2025-08-14T16:30:48.000000,2025-08-14T17:56:48.000000,2025-08-14T20:24:29.341060,2025-08-14T20:47:29.341060,2.461388888888889,1.4333333333333333,4.2780555555555555
ERR-2025-06991,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,STP CAT,Avengers,Thor,Closed,Medium,Low,Medium,Wednesday,2025-08-13T08:30:26.000000,2025-08-13T09:07:26.000000,2025-08-14T08:27:41.108636,2025-08-14T09:40:41.108636,23.3375,0.6166666666666667,25.170833333333334
